clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 10,18,Paderborn,4,10,1,1,8,11,25
Temporada2020,Jornada 11,1,Monchengladbach,25,11,8,1,2,24,11
Temporada2020,Jornada 11,2,RB Leipzig,21,11,6,3,2,29,12
Temporada2020,Jornada 11,3,Bayern München,21,11,6,3,2,29,16
Temporada2020,Jornada 11,4,SC Freiburg,21,11,6,3,2,20,12
Temporada2020,Jornada 11,5,Hoffenheim,20,11,6,2,3,16,14
Temporada2020,Jornada 11,6,B. Dortmund,19,11,5,4,2,23,15
Temporada2020,Jornada 11,7,Schalke 04,19,11,5,4,2,20,14
Temporada2020,Jornada 11,8,B. Leverkusen,18,11,5,3,3,17,15
Temporada2020,Jornada 11,9,Eintracht,17,11,5,2,4,21,16
Temporada2020,Jornada 11,10,Wolfsburg,17,11,4,5,2,11,10
Temporada2020,Jornada 11,11,Union Berlin,13,11,4,1,6,13,17
Temporada2020,Jornada 11,12,Hertha BSC,11,11,3,2,6,17,21
Temporada2020,Jornada 11,13,Fortuna,11,11,3,2,6,15,19
Temporada2020,Jornada 11,14,Werder Bremen,11,11,2,5,4,18,24
Temporada2020,Jornada 11,15,FC Augsburg,10,11,2,4,5,13,24
Temporada2020,Jornada 11,16,Mainz 05,9,11,3,0,8,12,30
Temporada2020,Jornada 11,17,Köln,7,11,2,1,8,10,23
Temporada2020,Jornada 11,18,Paderborn,4,11,1,1,9,11,26
Temporada2020,Jornada 12,1,Monchengladbach,25,12,8,1,3,24,13
Temporada2020,Jornada 12,2,RB Leipzig,24,12,7,3,2,33,13
Temporada2020,Jornada 12,3,Bayern München,24,12,7,3,2,33,16
Temporada2020,Jornada 12,4,SC Freiburg,22,12,6,4,2,21,13
Temporada2020,Jornada 12,5,Schalke 04,22,12,6,4,2,22,15
Temporada2020,Jornada 12,6,B. Dortmund,20,12,5,5,2,26,18
Temporada2020,Jornada 12,7,Wolfsburg,20,12,5,5,2,13,10
Temporada2020,Jornada 12,8,Hoffenheim,20,12,6,2,4,17,19
Temporada2020,Jornada 12,9,B. Leverkusen,19,12,5,4,3,18,16
Temporada2020,Jornada 12,10,Eintracht,17,12,5,2,5,21,18
Temporada2020,Jornada 12,11,Union Berlin,16,12,5,1,6,15,17
Temporada2020,Jornada 12,12,FC Augsburg,13,12,3,4,5,17,24
Temporada2020,Jornada 12,13,Mainz 05,12,12,4,0,8,17,31
Temporada2020,Jornada 12,14,Werder Bremen,11,12,2,5,5,19,26
Temporada2020,Jornada 12,15,Hertha BSC,11,12,3,2,7,17,25
Temporada2020,Jornada 12,16,Fortuna,11,12,3,2,7,15,23
Temporada2020,Jornada 12,17,Köln,7,12,2,1,9,11,27
Temporada2020,Jornada 12,18,Paderborn,5,12,1,2,9,14,29
Temporada2020,Jornada 13,1,Monchengladbach,28,13,9,1,3,28,15
Temporada2020,Jornada 13,2,RB Leipzig,27,13,8,3,2,36,15
Temporada2020,Jornada 13,3,Schalke 04,25,13,7,4,2,24,16
