TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 7,VISITANTE,Atalanta,Lecce,PERDIDO,14,2,3,0,0,1,1,7
Temporada2020,Jornada 7,LOCAL,Bologna,Lazio,EMPATADO,5,4,1,0,2,2,1,7
Temporada2020,Jornada 7,VISITANTE,Bologna,Lazio,EMPATADO,-5,0,-3,0,0,0,0,3
Temporada2020,Jornada 7,LOCAL,Brescia,Sassuolo,PERDIDO,2,4,3,1,2,1,1,4
Temporada2020,Jornada 7,VISITANTE,Brescia,Sassuolo,GANADO,-2,7,2,1,3,2,1,3
Temporada2020,Jornada 7,LOCAL,Fiorentina,Udinese,GANADO,-2,0,-1,0,2,0,0,7
Temporada2020,Jornada 7,VISITANTE,Fiorentina,Udinese,PERDIDO,2,2,1,0,1,1,1,7
Temporada2020,Jornada 7,LOCAL,Genoa,Milan,PERDIDO,2,4,1,0,2,1,1,6
Temporada2020,Jornada 7,VISITANTE,Genoa,Milan,GANADO,-2,4,0,1,1,2,1,6
Temporada2020,Jornada 7,LOCAL,Inter,Juventus,PERDIDO,-1,4,2,0,2,2,1,4
Temporada2020,Jornada 7,VISITANTE,Inter,Juventus,GANADO,1,3,2,1,1,2,1,5
Temporada2020,Jornada 7,LOCAL,SPAL,Parma,GANADO,10,3,2,0,1,2,1,7
Temporada2020,Jornada 7,VISITANTE,SPAL,Parma,PERDIDO,-10,2,1,0,2,1,0,5
Temporada2020,Jornada 7,LOCAL,Torino,Napoli,EMPATADO,4,3,2,0,2,2,0,6
Temporada2020,Jornada 7,VISITANTE,Torino,Napoli,EMPATADO,-4,5,2,1,2,0,2,4
Temporada2020,Jornada 7,LOCAL,Hellas Verona,Sampdoria,GANADO,-6,3,2,0,1,2,1,6
Temporada2020,Jornada 7,VISITANTE,Hellas Verona,Sampdoria,PERDIDO,6,3,3,0,1,1,1,7
Temporada2020,Jornada 8,LOCAL,Milan,Lecce,EMPATADO,-4,5,2,1,2,1,1,15
Temporada2020,Jornada 8,VISITANTE,Milan,Lecce,EMPATADO,4,4,1,0,1,2,1,14
Temporada2020,Jornada 8,LOCAL,Brescia,Fiorentina,EMPATADO,8,4,4,1,0,1,2,22
Temporada2020,Jornada 8,VISITANTE,Brescia,Fiorentina,EMPATADO,-8,0,0,0,2,0,0,15
Temporada2020,Jornada 8,LOCAL,Cagliari,SPAL,GANADO,-10,2,1,0,1,2,0,14
Temporada2020,Jornada 8,VISITANTE,Cagliari,SPAL,PERDIDO,10,1,1,0,1,1,0,15
Temporada2020,Jornada 8,LOCAL,Juventus,Bologna,GANADO,-11,3,3,1,0,1,1,13
Temporada2020,Jornada 8,VISITANTE,Juventus,Bologna,PERDIDO,11,2,-1,0,0,1,0,13
Temporada2020,Jornada 8,LOCAL,Lazio,Atalanta,EMPATADO,3,1,-1,0,0,1,0,13
Temporada2020,Jornada 8,VISITANTE,Lazio,Atalanta,EMPATADO,-3,6,5,0,3,2,2,13
Temporada2020,Jornada 8,LOCAL,Napoli,Hellas Verona,GANADO,-7,5,2,0,2,1,3,13
Temporada2020,Jornada 8,VISITANTE,Napoli,Hellas Verona,PERDIDO,7,1,0,0,0,1,1,14
Temporada2020,Jornada 8,LOCAL,Parma,Genoa,GANADO,-6,4,2,0,3,1,1,15
Temporada2020,Jornada 8,VISITANTE,Parma,Genoa,PERDIDO,6,3,2,0,2,0,1,15
