TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 6,LOCAL,B. Dortmund,Werder Bremen,EMPATADO,-7,4,5,0,1,2,1,6
Temporada2020,Jornada 6,VISITANTE,B. Dortmund,Werder Bremen,EMPATADO,7,2,3,0,0,2,2,7
Temporada2020,Jornada 6,LOCAL,Fortuna,SC Freiburg,PERDIDO,9,11,7,1,0,0,0,7
Temporada2020,Jornada 6,VISITANTE,Fortuna,SC Freiburg,GANADO,-9,1,0,0,0,1,0,8
Temporada2020,Jornada 6,LOCAL,Köln,Hertha BSC,PERDIDO,1,3,3,0,2,1,1,8
Temporada2020,Jornada 6,VISITANTE,Köln,Hertha BSC,GANADO,-1,2,2,0,1,1,0,8
Temporada2020,Jornada 6,LOCAL,Hoffenheim,Monchengladbach,PERDIDO,5,2,2,0,1,1,1,5
Temporada2020,Jornada 6,VISITANTE,Hoffenheim,Monchengladbach,GANADO,-5,11,7,1,0,0,0,6
Temporada2020,Jornada 6,LOCAL,Mainz 05,Wolfsburg,PERDIDO,9,2,1,0,1,1,0,8
Temporada2020,Jornada 6,VISITANTE,Mainz 05,Wolfsburg,GANADO,-9,2,3,0,2,1,1,5
Temporada2020,Jornada 6,LOCAL,Paderborn,Bayern München,PERDIDO,16,1,0,0,1,0,0,7
Temporada2020,Jornada 6,VISITANTE,Paderborn,Bayern München,GANADO,-16,2,2,0,0,1,1,7
Temporada2020,Jornada 6,LOCAL,RB Leipzig,Schalke 04,PERDIDO,-4,5,4,0,2,2,1,7
Temporada2020,Jornada 6,VISITANTE,RB Leipzig,Schalke 04,GANADO,4,1,1,0,0,1,1,8
Temporada2020,Jornada 6,LOCAL,Union Berlin,Eintracht,PERDIDO,5,4,3,0,2,1,2,6
Temporada2020,Jornada 6,VISITANTE,Union Berlin,Eintracht,GANADO,-5,11,7,1,0,0,0,5
Temporada2020,Jornada 7,LOCAL,B. Leverkusen,RB Leipzig,EMPATADO,4,2,2,0,1,0,1,4
Temporada2020,Jornada 7,VISITANTE,B. Leverkusen,RB Leipzig,EMPATADO,-4,3,3,0,1,1,1,3
Temporada2020,Jornada 7,LOCAL,Bayern München,Hoffenheim,PERDIDO,-11,1,2,0,1,1,0,4
Temporada2020,Jornada 7,VISITANTE,Bayern München,Hoffenheim,GANADO,11,1,2,0,0,1,1,7
Temporada2020,Jornada 7,LOCAL,Monchengladbach,FC Augsburg,GANADO,-8,11,7,1,0,0,0,3
Temporada2020,Jornada 7,VISITANTE,Monchengladbach,FC Augsburg,PERDIDO,8,3,2,0,2,1,2,8
Temporada2020,Jornada 7,LOCAL,Eintracht,Werder Bremen,EMPATADO,-2,11,7,1,0,0,0,3
Temporada2020,Jornada 7,VISITANTE,Eintracht,Werder Bremen,EMPATADO,2,1,2,0,1,0,0,8
Temporada2020,Jornada 7,LOCAL,SC Freiburg,B. Dortmund,EMPATADO,-5,2,2,0,1,0,1,6
Temporada2020,Jornada 7,VISITANTE,SC Freiburg,B. Dortmund,EMPATADO,5,3,3,0,1,2,1,3
Temporada2020,Jornada 7,LOCAL,Hertha BSC,Fortuna,GANADO,-4,1,2,0,0,0,1,5
Temporada2020,Jornada 7,VISITANTE,Hertha BSC,Fortuna,PERDIDO,4,11,7,1,0,0,0,5
Temporada2020,Jornada 7,LOCAL,Paderborn,Mainz 05,PERDIDO,2,3,2,1,1,1,1,7
Temporada2020,Jornada 7,VISITANTE,Paderborn,Mainz 05,GANADO,-2,2,1,0,1,1,1,7
Temporada2020,Jornada 7,LOCAL,Schalke 04,Köln,EMPATADO,-13,2,0,0,0,1,1,7
Temporada2020,Jornada 7,VISITANTE,Schalke 04,Köln,EMPATADO,13,6,4,0,3,2,2,6
Temporada2020,Jornada 7,LOCAL,Wolfsburg,Union Berlin,GANADO,-8,2,3,0,1,0,2,3
Temporada2020,Jornada 7,VISITANTE,Wolfsburg,Union Berlin,PERDIDO,8,3,1,0,2,1,1,9
Temporada2020,Jornada 8,LOCAL,FC Augsburg,Bayern München,EMPATADO,11,2,0,0,1,0,2,13
Temporada2020,Jornada 8,VISITANTE,FC Augsburg,Bayern München,EMPATADO,-11,2,3,0,1,1,0,14
Temporada2020,Jornada 8,LOCAL,B. Dortmund,Monchengladbach,GANADO,7,3,3,0,1,1,1,14
Temporada2020,Jornada 8,VISITANTE,B. Dortmund,Monchengladbach,PERDIDO,-7,11,7,1,0,0,0,13
