TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 9,LOCAL,Eibar,Barcelona,PERDIDO,12,5,4,1,1,3,2,15
Temporada2020,Jornada 9,VISITANTE,Eibar,Barcelona,GANADO,-12,5,4,0,3,1,1,13
Temporada2020,Jornada 9,LOCAL,Espanyol,Villarreal,PERDIDO,10,5,6,0,3,1,2,14
Temporada2020,Jornada 9,VISITANTE,Espanyol,Villarreal,GANADO,-10,2,1,0,1,1,1,15
Temporada2020,Jornada 9,LOCAL,Getafe,Leganés,GANADO,-8,2,1,0,1,1,0,13
Temporada2020,Jornada 9,VISITANTE,Getafe,Leganés,PERDIDO,8,5,6,1,2,1,2,14
Temporada2020,Jornada 9,LOCAL,Granada,Osasuna,GANADO,-7,4,5,0,1,2,2,13
Temporada2020,Jornada 9,VISITANTE,Granada,Osasuna,PERDIDO,7,3,4,0,0,2,1,13
Temporada2020,Jornada 9,LOCAL,Real Mallorca,Real Madrid,GANADO,17,0,0,0,0,0,0,13
Temporada2020,Jornada 9,VISITANTE,Real Mallorca,Real Madrid,PERDIDO,-17,7,6,1,2,2,2,14
Temporada2020,Jornada 9,LOCAL,Real Sociedad,Real Betis,GANADO,-11,3,2,1,2,1,0,14
Temporada2020,Jornada 9,VISITANTE,Real Sociedad,Real Betis,PERDIDO,11,3,3,0,2,2,0,16
Temporada2020,Jornada 9,LOCAL,Sevilla,Levante,GANADO,-4,3,5,0,1,1,1,14
Temporada2020,Jornada 9,VISITANTE,Sevilla,Levante,PERDIDO,4,3,4,0,1,1,1,15
Temporada2020,Jornada 10,LOCAL,Barcelona,Real Madrid,EMPATADO,-1,3,4,0,2,2,0,4
Temporada2020,Jornada 10,VISITANTE,Barcelona,Real Madrid,EMPATADO,1,6,5,0,3,2,2,3
Temporada2020,Jornada 10,LOCAL,Atlético Madrid,Athletic Bilbao,GANADO,-3,4,4,0,2,1,2,4
Temporada2020,Jornada 10,VISITANTE,Atlético Madrid,Athletic Bilbao,PERDIDO,3,2,3,0,2,0,0,6
Temporada2020,Jornada 10,LOCAL,Celta de Vigo,Real Sociedad,PERDIDO,13,4,5,0,2,2,0,7
Temporada2020,Jornada 10,VISITANTE,Celta de Vigo,Real Sociedad,GANADO,-13,1,2,0,1,1,0,7
Temporada2020,Jornada 10,LOCAL,Granada,Real Betis,GANADO,-15,3,3,0,1,1,1,9
Temporada2020,Jornada 10,VISITANTE,Granada,Real Betis,PERDIDO,15,5,7,0,4,2,1,7
Temporada2020,Jornada 10,LOCAL,Leganés,Real Mallorca,GANADO,5,3,4,0,1,1,1,7
Temporada2020,Jornada 10,VISITANTE,Leganés,Real Mallorca,PERDIDO,-5,0,2,0,0,0,0,7
Temporada2020,Jornada 10,LOCAL,Levante,Espanyol,PERDIDO,-8,3,3,0,2,1,0,7
Temporada2020,Jornada 10,VISITANTE,Levante,Espanyol,GANADO,8,1,4,0,0,0,1,3
Temporada2020,Jornada 10,LOCAL,Osasuna,Valencia,GANADO,3,3,5,0,1,1,1,9
Temporada2020,Jornada 10,VISITANTE,Osasuna,Valencia,PERDIDO,-3,6,6,1,2,2,2,4
Temporada2020,Jornada 10,LOCAL,Sevilla,Getafe,GANADO,-3,0,2,0,0,0,0,3
Temporada2020,Jornada 10,VISITANTE,Sevilla,Getafe,PERDIDO,3,1,2,0,1,0,0,3
Temporada2020,Jornada 10,LOCAL,Villarreal,Alavés,GANADO,-7,1,1,0,1,0,0,5
Temporada2020,Jornada 10,VISITANTE,Villarreal,Alavés,PERDIDO,7,0,3,0,0,0,0,5
Temporada2020,Jornada 10,LOCAL,Real Valladolid,Eibar,GANADO,-4,0,6,0,2,0,0,6
Temporada2020,Jornada 10,VISITANTE,Real Valladolid,Eibar,PERDIDO,4,4,3,1,1,2,2,7
Temporada2020,Jornada 11,LOCAL,Alavés,Atlético Madrid,EMPATADO,9,0,3,0,0,0,0,4
Temporada2020,Jornada 11,VISITANTE,Alavés,Atlético Madrid,EMPATADO,-9,4,4,0,1,2,1,3
Temporada2020,Jornada 11,LOCAL,Athletic Bilbao,Espanyol,GANADO,-9,1,2,0,1,0,0,4
Temporada2020,Jornada 11,VISITANTE,Athletic Bilbao,Espanyol,PERDIDO,9,2,4,0,1,0,1,3
Temporada2020,Jornada 11,LOCAL,Barcelona,Real Valladolid,GANADO,-8,3,6,0,0,2,1,6
Temporada2020,Jornada 11,VISITANTE,Barcelona,Real Valladolid,PERDIDO,8,4,5,0,0,0,2,3
Temporada2020,Jornada 11,LOCAL,Real Betis,Celta de Vigo,GANADO,1,5,5,0,3,3,1,3
Temporada2020,Jornada 11,VISITANTE,Real Betis,Celta de Vigo,PERDIDO,-1,3,3,0,1,2,0,3
Temporada2020,Jornada 11,LOCAL,Eibar,Villarreal,GANADO,9,4,5,0,1,2,2,5
Temporada2020,Jornada 11,VISITANTE,Eibar,Villarreal,PERDIDO,-9,4,4,0,1,2,1,6
Temporada2020,Jornada 11,LOCAL,Getafe,Granada,GANADO,9,3,4,0,2,0,1,4
Temporada2020,Jornada 11,VISITANTE,Getafe,Granada,PERDIDO,-9,5,6,0,2,2,2,4
Temporada2020,Jornada 11,LOCAL,Real Mallorca,Osasuna,EMPATADO,7,1,3,0,1,0,0,5
Temporada2020,Jornada 11,VISITANTE,Real Mallorca,Osasuna,EMPATADO,-7,5,4,1,2,1,2,4
Temporada2020,Jornada 11,LOCAL,Real Madrid,Leganés,GANADO,-16,3,3,0,1,1,2,8
Temporada2020,Jornada 11,VISITANTE,Real Madrid,Leganés,PERDIDO,16,6,5,1,4,2,1,4
Temporada2020,Jornada 11,LOCAL,Real Sociedad,Levante,PERDIDO,-10,3,3,0,1,1,2,3
Temporada2020,Jornada 11,VISITANTE,Real Sociedad,Levante,GANADO,10,5,5,0,2,2,2,3
Temporada2020,Jornada 11,LOCAL,Valencia,Sevilla,EMPATADO,6,6,5,1,1,3,2,3
Temporada2020,Jornada 11,VISITANTE,Valencia,Sevilla,EMPATADO,-6,2,2,0,1,1,1,3
