Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
La Liga Santander,Temporada2020,Jornada 6,Athletic Bilbao,4,12,7,2,VISITANTE,1 - 1, 1,3,15,0,0,0,2,0,5,3,8,71,72,0,0,0,0,0,5,1,0,0,0,0,1,1,8,0,0,1,11,Leganés,20,1,28,76,181,0
La Liga Santander,Temporada2020,Jornada 6,Granada,5,11,12,6,VISITANTE,1 - 1, 1,3,15,0,0,1,0,1,7,0,8,66,67,0,0,0,1,0,5,0,0,0,0,0,1,2,10,0,0,3,10,Real Valladolid,15,5,27,74,184,0
La Liga Santander,Temporada2020,Jornada 6,Barcelona,6,10,14,10,LOCAL,2 - 1,2 ,3,15,0,0,0,2,1,6,2,2,62,62,0,0,0,1,0,3,1,0,0,0,0,1,4,9,0,0,8,7,Villarreal,7,8,28,75,181,0
La Liga Santander,Temporada2020,Jornada 6,Sevilla,7,10,7,5,VISITANTE,3 - 2, 2,3,15,0,0,0,2,2,8,0,3,69,66,0,0,0,1,0,3,1,0,0,0,0,2,4,14,0,0,5,10,Eibar,19,2,28,72,179,0
La Liga Santander,Temporada2020,Jornada 6,Villarreal,8,8,13,10,VISITANTE,2 - 1, 1,3,15,0,0,0,1,1,8,2,4,67,72,0,0,0,0,0,2,0,0,0,0,0,0,2,8,0,0,7,8,Barcelona,8,7,27,72,180,0
La Liga Santander,Temporada2020,Jornada 6,Real Betis,9,8,9,10,LOCAL,3 - 1,3 ,3,15,0,0,0,2,1,8,2,4,79,66,0,0,0,1,0,5,1,0,0,1,0,2,2,12,0,3,14,5,Levante,9,7,29,72,182,0
La Liga Santander,Temporada2020,Jornada 6,Getafe,10,7,10,9,VISITANTE,3 - 3, 3,3,15,0,0,1,2,1,7,1,4,65,67,0,0,0,1,0,0,0,0,0,0,0,1,4,17,0,1,11,6,Valencia,12,5,28,74,181,0
La Liga Santander,Temporada2020,Jornada 6,Levante,11,7,7,8,VISITANTE,3 - 1, 1,3,15,0,0,0,1,1,7,2,7,60,71,0,0,0,1,0,8,1,0,0,0,0,0,2,6,0,0,9,7,Real Betis,14,5,29,72,181,0
La Liga Santander,Temporada2020,Jornada 6,Osasuna,12,7,4,5,VISITANTE,2 - 0, 0,3,15,0,0,0,0,0,7,2,6,66,77,0,0,0,1,0,7,1,1,0,0,0,0,2,13,0,0,10,7,Real Madrid,2,11,28,73,177,0
La Liga Santander,Temporada2020,Jornada 6,Valencia,13,6,9,11,LOCAL,3 - 3,3 ,3,15,0,0,0,4,2,4,1,7,55,71,0,0,1,1,0,6,1,0,0,1,2,1,1,11,0,0,12,5,Getafe,11,6,27,70,180,0
La Liga Santander,Temporada2020,Jornada 6,Real Valladolid,14,6,5,8,LOCAL,1 - 1,1 ,2,15,0,0,0,4,0,6,2,5,70,69,0,0,0,0,0,4,1,1,0,0,0,2,3,10,0,0,15,5,Granada,3,10,27,71,179,0
La Liga Santander,Temporada2020,Jornada 6,Celta de Vigo,15,6,4,7,LOCAL,1 - 1,1 ,3,15,0,0,0,2,2,6,0,6,74,70,0,0,0,1,0,1,1,0,0,0,0,2,2,18,0,2,16,5,Espanyol,18,4,26,72,179,0
La Liga Santander,Temporada2020,Jornada 6,Eibar,16,5,7,9,LOCAL,3 - 2,3 ,3,15,0,0,1,4,2,5,0,6,55,70,0,0,0,0,0,1,1,0,0,0,0,1,3,14,0,0,19,2,Sevilla,5,10,30,73,180,0
La Liga Santander,Temporada2020,Jornada 6,Alavés,17,5,2,7,VISITANTE,3 - 0, 0,0,15,0,0,0,2,0,10,0,3,0,69,0,0,0,0,0,11,1,1,0,0,0,0,0,14,0,0,13,5,Real Sociedad,4,10,,,,0
La Liga Santander,Temporada2020,Jornada 6,Espanyol,18,5,4,10,VISITANTE,1 - 1, 1,3,14,0,0,0,2,1,6,2,5,76,72,0,0,0,1,0,3,1,1,0,0,0,1,5,8,0,0,18,4,Celta de Vigo,16,5,28,73,181,0
La Liga Santander,Temporada2020,Jornada 6,Real Mallorca,19,4,4,10,LOCAL,0 - 2,0 ,3,15,0,0,0,2,1,9,2,4,65,65,0,0,0,1,0,2,1,0,0,1,0,2,3,13,0,0,17,4,Atlético Madrid,6,10,28,72,179,0
La Liga Santander,Temporada2020,Jornada 6,Leganés,20,2,3,9,LOCAL,1 - 1,1 ,3,15,0,0,1,7,1,5,1,2,75,69,0,0,0,0,0,5,1,0,0,0,0,2,0,13,0,1,20,1,Athletic Bilbao,1,11,26,73,179,0
La Liga Santander,Temporada2020,Jornada 7,Real Madrid,1,15,12,6,VISITANTE,0 - 0, 0,3,16,0,0,0,1,1,6,2,9,77,74,0,0,0,0,0,6,1,0,0,0,0,0,2,12,0,1,1,14,Atlético Madrid,3,13,28,75,183,0
La Liga Santander,Temporada2020,Jornada 7,Atlético Madrid,2,14,7,4,LOCAL,0 - 0,0 ,3,18,0,1,1,1,1,9,1,7,59,66,0,0,0,0,0,2,0,0,0,0,0,1,1,15,0,0,3,13,Real Madrid,1,14,26,77,182,0
La Liga Santander,Temporada2020,Jornada 7,Granada,3,14,13,6,LOCAL,1 - 0,1 ,3,18,0,0,0,1,1,8,2,8,70,67,0,0,0,1,0,5,1,0,0,0,0,1,3,12,0,0,5,11,Leganés,20,2,28,74,180,0
La Liga Santander,Temporada2020,Jornada 7,Barcelona,4,13,16,10,VISITANTE,0 - 2, 2,3,18,0,0,0,2,1,7,1,4,80,62,0,0,0,1,0,2,1,0,0,0,0,1,2,13,0,0,6,10,Getafe,10,7,27,75,182,0
La Liga Santander,Temporada2020,Jornada 7,Real Sociedad,5,13,12,7,VISITANTE,3 - 2, 2,3,15,0,0,1,3,1,4,1,8,54,71,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,2,13,Sevilla,7,10,27,75,181,0
La Liga Santander,Temporada2020,Jornada 7,Sevilla,6,13,10,7,LOCAL,3 - 2,3 ,3,18,0,0,0,2,2,10,1,3,70,67,0,0,0,0,0,4,1,1,0,0,0,2,1,18,0,0,7,10,Real Sociedad,2,13,27,73,180,0
La Liga Santander,Temporada2020,Jornada 7,Athletic Bilbao,7,12,7,3,LOCAL,0 - 1,0 ,3,18,0,0,1,2,1,5,1,11,69,72,0,0,0,1,0,5,1,0,0,0,1,1,1,9,0,0,4,12,Valencia,13,6,27,74,179,0
La Liga Santander,Temporada2020,Jornada 7,Villarreal,8,11,18,11,LOCAL,5 - 1,5 ,3,18,0,0,0,1,2,9,0,6,73,71,0,0,0,1,0,2,0,0,0,0,0,0,2,10,0,0,8,8,Real Betis,9,8,28,72,182,0
La Liga Santander,Temporada2020,Jornada 7,Valencia,9,9,10,11,VISITANTE,0 - 1, 1,3,18,0,0,1,4,0,6,2,8,67,68,0,0,0,1,0,6,1,0,0,1,0,3,4,12,0,0,13,6,Athletic Bilbao,4,12,28,76,182,0
La Liga Santander,Temporada2020,Jornada 7,Real Valladolid,10,9,7,8,VISITANTE,0 - 2, 2,3,17,0,0,1,4,0,6,2,7,66,69,0,0,0,0,0,1,1,1,0,0,0,2,0,13,0,0,14,6,Espanyol,18,5,28,71,179,0
La Liga Santander,Temporada2020,Jornada 7,Eibar,11,8,9,9,LOCAL,2 - 0,2 ,3,18,0,0,1,5,0,7,2,6,65,68,0,0,0,1,0,4,1,0,0,0,0,1,3,17,0,0,16,5,Celta de Vigo,15,6,29,71,178,0
La Liga Santander,Temporada2020,Jornada 7,Levante,12,8,8,9,LOCAL,1 - 1,1 ,3,18,0,0,0,1,0,8,3,9,78,69,0,0,0,1,0,5,1,0,0,0,0,0,4,8,0,0,11,7,Osasuna,12,7,28,71,180,0
La Liga Santander,Temporada2020,Jornada 7,Osasuna,13,8,5,6,VISITANTE,1 - 1, 1,3,18,0,0,0,0,2,7,1,8,70,75,0,0,0,0,0,7,1,1,0,0,0,0,0,15,0,0,12,7,Levante,11,7,29,74,179,0
La Liga Santander,Temporada2020,Jornada 7,Alavés,14,8,4,7,LOCAL,2 - 0,2 ,3,15,0,0,0,2,2,10,0,3,76,69,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,17,5,Real Mallorca,19,4,28,72,180,0
La Liga Santander,Temporada2020,Jornada 7,Real Betis,15,8,10,15,VISITANTE,5 - 1, 1,3,18,0,0,1,2,1,9,1,6,77,68,0,0,0,1,0,3,1,0,0,0,0,2,2,14,0,3,9,8,Villarreal,8,8,28,74,184,0
La Liga Santander,Temporada2020,Jornada 7,Getafe,16,7,10,11,LOCAL,0 - 2,0 ,3,18,0,0,1,3,1,8,1,5,58,67,0,0,0,1,0,2,1,0,0,0,0,1,4,21,0,1,10,7,Barcelona,6,10,27,72,179,0
La Liga Santander,Temporada2020,Jornada 7,Celta de Vigo,17,6,4,9,VISITANTE,2 - 0, 0,3,18,0,0,0,2,2,8,0,6,72,71,0,0,0,0,0,2,0,0,0,0,0,2,1,20,0,2,15,6,Eibar,16,5,26,75,182,0
La Liga Santander,Temporada2020,Jornada 7,Espanyol,18,5,4,12,LOCAL,0 - 2,0 ,3,17,0,0,1,2,1,7,1,7,69,73,0,0,0,0,0,1,0,0,0,0,0,1,2,13,1,0,18,5,Real Valladolid,14,6,28,74,182,0
La Liga Santander,Temporada2020,Jornada 7,Real Mallorca,19,4,4,12,VISITANTE,2 - 0, 0,3,18,0,0,0,2,2,10,1,6,73,65,0,0,0,1,0,2,0,0,0,0,0,2,3,16,0,0,19,4,Alavés,17,5,28,71,178,0
La Liga Santander,Temporada2020,Jornada 7,Leganés,20,2,3,10,VISITANTE,1 - 0, 0,3,18,0,0,1,8,2,6,0,3,52,70,0,0,1,1,0,4,0,0,0,0,1,2,4,13,0,1,20,2,Granada,5,11,25,74,183,0
La Liga Santander,Temporada2020,Jornada 8,Real Madrid,1,18,16,8,LOCAL,4 - 2,4 ,3,19,0,0,0,1,1,7,2,11,62,74,0,0,1,1,0,2,1,1,0,0,1,0,4,14,0,1,1,15,Granada,3,14,28,75,183,1
La Liga Santander,Temporada2020,Jornada 8,Barcelona,2,16,20,10,LOCAL,4 - 0,4 ,3,21,0,0,0,2,2,8,0,5,69,64,0,0,0,1,1,5,1,0,0,0,0,1,4,15,2,0,4,13,Sevilla,6,13,28,72,179,1
