clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 6,19,SPAL,3,6,1,0,5,5,13
Temporada2020,Jornada 6,20,Sampdoria,3,6,1,0,5,4,14
Temporada2020,Jornada 7,1,Juventus,19,7,6,1,0,13,6
Temporada2020,Jornada 7,2,Inter,18,7,6,0,1,14,4
Temporada2020,Jornada 7,3,Atalanta,16,7,5,1,1,18,10
Temporada2020,Jornada 7,4,Napoli,13,7,4,1,2,15,10
Temporada2020,Jornada 7,5,Roma,12,7,3,3,1,12,10
Temporada2020,Jornada 7,6,Lazio,11,7,3,2,2,13,6
Temporada2020,Jornada 7,7,Cagliari,11,7,3,2,2,10,7
Temporada2020,Jornada 7,8,Fiorentina,11,7,3,2,2,12,10
Temporada2020,Jornada 7,9,Torino,10,7,3,1,3,10,10
Temporada2020,Jornada 7,10,Sassuolo,9,7,3,0,4,13,12
Temporada2020,Jornada 7,11,Hellas Verona,9,7,2,3,2,6,5
Temporada2020,Jornada 7,12,Bologna,9,7,2,3,2,9,9
Temporada2020,Jornada 7,13,Parma,9,7,3,0,4,8,10
Temporada2020,Jornada 7,14,Milan,9,7,3,0,4,6,9
Temporada2020,Jornada 7,15,Udinese,7,7,2,1,4,3,6
Temporada2020,Jornada 7,16,Brescia,6,7,2,0,5,7,11
Temporada2020,Jornada 7,17,SPAL,6,7,2,0,5,6,13
Temporada2020,Jornada 7,18,Lecce,6,7,2,0,5,7,15
Temporada2020,Jornada 7,19,Genoa,5,7,1,2,4,8,15
Temporada2020,Jornada 7,20,Sampdoria,3,7,1,0,6,4,16
Temporada2020,Jornada 8,1,Juventus,22,8,7,1,0,15,7
Temporada2020,Jornada 8,2,Inter,21,8,7,0,1,18,7
Temporada2020,Jornada 8,3,Atalanta,17,8,5,2,1,21,13
Temporada2020,Jornada 8,4,Napoli,16,8,5,1,2,17,10
Temporada2020,Jornada 8,5,Cagliari,14,8,4,2,2,12,7
Temporada2020,Jornada 8,6,Roma,13,8,3,4,1,12,10
Temporada2020,Jornada 8,7,Lazio,12,8,3,3,2,16,9
Temporada2020,Jornada 8,8,Parma,12,8,4,0,4,13,11
Temporada2020,Jornada 8,9,Fiorentina,12,8,3,3,2,12,10
Temporada2020,Jornada 8,10,Torino,10,8,3,1,4,10,11
Temporada2020,Jornada 8,11,Udinese,10,8,3,1,4,4,6
Temporada2020,Jornada 8,12,Milan,10,8,3,1,4,8,11
Temporada2020,Jornada 8,13,Sassuolo,9,8,3,0,5,16,16
Temporada2020,Jornada 8,14,Bologna,9,8,2,3,3,10,11
Temporada2020,Jornada 8,15,Hellas Verona,9,8,2,3,3,6,7
Temporada2020,Jornada 8,16,Brescia,7,8,2,1,5,7,11
Temporada2020,Jornada 8,17,Lecce,7,8,2,1,5,9,17
Temporada2020,Jornada 8,18,SPAL,6,8,2,0,6,6,15
Temporada2020,Jornada 8,19,Genoa,5,8,1,2,5,9,20
Temporada2020,Jornada 8,20,Sampdoria,4,8,1,1,6,4,16
Temporada2020,Jornada 9,1,Juventus,23,9,7,2,0,16,8
Temporada2020,Jornada 9,2,Inter,22,9,7,1,1,20,9
Temporada2020,Jornada 9,3,Atalanta,20,9,6,2,1,28,14
Temporada2020,Jornada 9,4,Napoli,17,9,5,2,2,18,11
Temporada2020,Jornada 9,5,Roma,16,9,4,4,1,14,11
Temporada2020,Jornada 9,6,Lazio,15,9,4,3,2,18,10
Temporada2020,Jornada 9,7,Cagliari,15,9,4,3,2,13,8
Temporada2020,Jornada 9,8,Parma,13,9,4,1,4,15,13
Temporada2020,Jornada 9,9,Sassuolo,12,9,4,0,5,17,16
Temporada2020,Jornada 9,10,Fiorentina,12,9,3,3,3,13,12
Temporada2020,Jornada 9,11,Bologna,12,9,3,3,3,12,12
Temporada2020,Jornada 9,12,Torino,11,9,3,2,4,11,12
Temporada2020,Jornada 9,13,Milan,10,9,3,1,5,9,13
Temporada2020,Jornada 9,14,Udinese,10,9,3,1,5,5,13
Temporada2020,Jornada 9,15,Hellas Verona,9,9,2,3,4,6,8
Temporada2020,Jornada 9,16,Lecce,8,9,2,2,5,10,18
Temporada2020,Jornada 9,17,Genoa,8,9,2,2,5,12,21
Temporada2020,Jornada 9,18,Brescia,7,9,2,1,6,8,14
Temporada2020,Jornada 9,19,SPAL,7,9,2,1,6,7,16
Temporada2020,Jornada 9,20,Sampdoria,4,9,1,1,7,5,18
Temporada2020,Jornada 10,1,Juventus,26,10,8,2,0,18,9
Temporada2020,Jornada 10,2,Inter,25,10,8,1,1,22,10
Temporada2020,Jornada 10,3,Atalanta,21,10,6,3,1,30,16
Temporada2020,Jornada 10,4,Roma,19,10,5,4,1,18,11
Temporada2020,Jornada 10,5,Lazio,18,10,5,3,2,22,10
Temporada2020,Jornada 10,6,Napoli,18,10,5,3,2,20,13
Temporada2020,Jornada 10,7,Cagliari,18,10,5,3,2,16,10
Temporada2020,Jornada 10,8,Fiorentina,15,10,4,3,3,15,13
Temporada2020,Jornada 10,9,Parma,13,10,4,1,5,15,14
Temporada2020,Jornada 10,10,Milan,13,10,4,1,5,10,13
Temporada2020,Jornada 10,11,Sassuolo,12,10,4,0,6,18,18
Temporada2020,Jornada 10,12,Bologna,12,10,3,3,4,14,15
Temporada2020,Jornada 10,13,Hellas Verona,12,10,3,3,4,7,8
Temporada2020,Jornada 10,14,Torino,11,10,3,2,5,11,16
Temporada2020,Jornada 10,15,Udinese,10,10,3,1,6,5,17
Temporada2020,Jornada 10,16,Lecce,9,10,2,3,5,11,19
Temporada2020,Jornada 10,17,Genoa,8,10,2,2,6,13,23
Temporada2020,Jornada 10,18,Brescia,7,10,2,1,7,9,16
Temporada2020,Jornada 10,19,SPAL,7,10,2,1,7,7,17
Temporada2020,Jornada 10,20,Sampdoria,5,10,1,2,7,6,19
Temporada2020,Jornada 11,1,Juventus,29,11,9,2,0,19,9
Temporada2020,Jornada 11,2,Inter,28,11,9,1,1,24,11
Temporada2020,Jornada 11,3,Roma,22,11,6,4,1,20,12
Temporada2020,Jornada 11,4,Lazio,21,11,6,3,2,24,11
Temporada2020,Jornada 11,5,Atalanta,21,11,6,3,2,30,18
Temporada2020,Jornada 11,6,Cagliari,21,11,6,3,2,18,10
Temporada2020,Jornada 11,7,Napoli,18,11,5,3,3,21,15
Temporada2020,Jornada 11,8,Fiorentina,16,11,4,4,3,16,14
Temporada2020,Jornada 11,9,Hellas Verona,15,11,4,3,4,9,9
Temporada2020,Jornada 11,10,Parma,14,11,4,2,5,16,15
Temporada2020,Jornada 11,11,Sassuolo,13,11,4,1,6,20,20
Temporada2020,Jornada 11,12,Milan,13,11,4,1,6,11,15
Temporada2020,Jornada 11,13,Udinese,13,11,4,1,6,8,18
Temporada2020,Jornada 11,14,Bologna,12,11,3,3,5,15,17
Temporada2020,Jornada 11,15,Torino,11,11,3,2,6,11,17
Temporada2020,Jornada 11,16,Lecce,10,11,2,4,5,13,21
Temporada2020,Jornada 11,17,Genoa,8,11,2,2,7,14,26
Temporada2020,Jornada 11,18,Sampdoria,8,11,2,2,7,7,19
Temporada2020,Jornada 11,19,Brescia,7,11,2,1,8,10,18
Temporada2020,Jornada 11,20,SPAL,7,11,2,1,8,7,18
Temporada2020,Jornada 12,1,Juventus,32,12,10,2,0,20,9
Temporada2020,Jornada 12,2,Inter,31,12,10,1,1,26,12
Temporada2020,Jornada 12,3,Lazio,24,12,7,3,2,28,13
Temporada2020,Jornada 12,4,Cagliari,24,12,7,3,2,23,12
Temporada2020,Jornada 12,5,Atalanta,22,12,6,4,2,30,18
Temporada2020,Jornada 12,6,Roma,22,12,6,4,2,20,14
Temporada2020,Jornada 12,7,Napoli,19,12,5,4,3,21,15
Temporada2020,Jornada 12,8,Parma,17,12,5,2,5,18,15
Temporada2020,Jornada 12,9,Sassuolo,16,12,5,1,6,23,21
Temporada2020,Jornada 12,10,Fiorentina,16,12,4,4,4,18,19
Temporada2020,Jornada 12,11,Hellas Verona,15,12,4,3,5,10,11
Temporada2020,Jornada 12,12,Torino,14,12,4,2,6,15,17
Temporada2020,Jornada 12,13,Udinese,14,12,4,2,6,8,18
Temporada2020,Jornada 12,14,Milan,13,12,4,1,7,11,16
Temporada2020,Jornada 12,15,Bologna,12,12,3,3,6,16,20
Temporada2020,Jornada 12,16,Lecce,10,12,2,4,6,15,25
Temporada2020,Jornada 12,17,Genoa,9,12,2,3,7,14,26
Temporada2020,Jornada 12,18,Sampdoria,9,12,2,3,7,7,19
Temporada2020,Jornada 12,19,SPAL,8,12,2,2,8,7,18
Temporada2020,Jornada 12,20,Brescia,7,12,2,1,9,10,22
Temporada2020,Jornada 13,1,Juventus,35,13,11,2,0,23,10
Temporada2020,Jornada 13,2,Inter,34,13,11,1,1,29,12
Temporada2020,Jornada 13,3,Lazio,27,13,8,3,2,30,14
Temporada2020,Jornada 13,4,Cagliari,25,13,7,4,2,25,14
Temporada2020,Jornada 13,5,Roma,25,13,7,4,2,23,14
Temporada2020,Jornada 13,6,Atalanta,22,13,6,4,3,31,21
Temporada2020,Jornada 13,7,Napoli,20,13,5,5,3,22,16
Temporada2020,Jornada 13,8,Parma,18,13,5,3,5,20,17
Temporada2020,Jornada 13,9,Hellas Verona,18,13,5,3,5,11,11
Temporada2020,Jornada 13,10,Sassuolo,16,13,5,1,7,24,23
Temporada2020,Jornada 13,11,Fiorentina,16,13,4,4,5,18,20
Temporada2020,Jornada 13,12,Torino,14,13,4,2,7,15,20
Temporada2020,Jornada 13,13,Milan,14,13,4,2,7,12,17
Temporada2020,Jornada 13,14,Udinese,14,13,4,2,7,9,20
Temporada2020,Jornada 13,15,Bologna,13,13,3,4,6,18,22
Temporada2020,Jornada 13,16,Sampdoria,12,13,3,3,7,9,20
Temporada2020,Jornada 13,17,Lecce,11,13,2,5,6,17,27
Temporada2020,Jornada 13,18,Genoa,10,13,2,4,7,15,27
Temporada2020,Jornada 13,19,SPAL,9,13,2,3,8,8,19
Temporada2020,Jornada 13,20,Brescia,7,13,2,1,10,10,25
Temporada2020,Jornada 14,1,Inter,37,14,12,1,1,31,13
Temporada2020,Jornada 14,2,Juventus,36,14,11,3,0,25,12
Temporada2020,Jornada 14,3,Lazio,30,14,9,3,2,33,14
Temporada2020,Jornada 14,4,Cagliari,28,14,8,4,2,29,17
Temporada2020,Jornada 14,5,Roma,28,14,8,4,2,26,15
Temporada2020,Jornada 14,6,Atalanta,25,14,7,4,3,34,21
Temporada2020,Jornada 14,7,Napoli,20,14,5,5,4,23,18
Temporada2020,Jornada 14,8,Parma,18,14,5,3,6,20,18
Temporada2020,Jornada 14,9,Hellas Verona,18,14,5,3,6,12,14
Temporada2020,Jornada 14,10,Sassuolo,17,14,5,2,7,26,25
Temporada2020,Jornada 14,11,Torino,17,14,5,2,7,16,20
Temporada2020,Jornada 14,12,Milan,17,14,5,2,7,13,17
Temporada2020,Jornada 14,13,Bologna,16,14,4,4,6,20,23
Temporada2020,Jornada 14,14,Fiorentina,16,14,4,4,6,18,21
Temporada2020,Jornada 14,15,Lecce,14,14,3,5,6,18,27
Temporada2020,Jornada 14,16,Udinese,14,14,4,2,8,9,23
Temporada2020,Jornada 14,17,Sampdoria,12,14,3,3,8,12,24
Temporada2020,Jornada 14,18,Genoa,10,14,2,4,8,15,28
Temporada2020,Jornada 14,19,SPAL,9,14,2,3,9,9,21
Temporada2020,Jornada 14,20,Brescia,7,14,2,1,11,10,28
Temporada2020,Jornada 15,1,Inter,38,15,12,2,1,31,13
Temporada2020,Jornada 15,2,Juventus,36,15,11,3,1,26,15
Temporada2020,Jornada 15,3,Lazio,33,15,10,3,2,36,15
Temporada2020,Jornada 15,4,Cagliari,29,15,8,5,2,31,19
Temporada2020,Jornada 15,5,Roma,29,15,8,5,2,26,15
Temporada2020,Jornada 15,6,Atalanta,28,15,8,4,3,37,23
Temporada2020,Jornada 15,7,Napoli,21,15,5,6,4,24,19
Temporada2020,Jornada 15,8,Parma,21,15,6,3,6,21,18
Temporada2020,Jornada 15,9,Torino,20,15,6,2,7,18,21
Temporada2020,Jornada 15,10,Milan,20,15,6,2,7,16,19
Temporada2020,Jornada 15,11,Sassuolo,18,15,5,3,7,28,27
Temporada2020,Jornada 15,12,Hellas Verona,18,15,5,3,7,14,17
Temporada2020,Jornada 15,13,Bologna,16,15,4,4,7,22,26
Temporada2020,Jornada 15,14,Fiorentina,16,15,4,4,7,19,23
Temporada2020,Jornada 15,15,Lecce,15,15,3,6,6,20,29
Temporada2020,Jornada 15,16,Udinese,15,15,4,3,8,10,24
Temporada2020,Jornada 15,17,Sampdoria,12,15,3,3,9,12,25
Temporada2020,Jornada 15,18,Genoa,11,15,2,5,8,17,30
Temporada2020,Jornada 15,19,Brescia,10,15,3,1,11,11,28
Temporada2020,Jornada 15,20,SPAL,9,15,2,3,10,9,22
Temporada2020,Jornada 16,1,Inter,39,16,12,3,1,32,14
Temporada2020,Jornada 16,2,Juventus,39,16,12,3,1,29,16
Temporada2020,Jornada 16,3,Lazio,36,16,11,3,2,38,16
Temporada2020,Jornada 16,4,Roma,32,16,9,5,2,29,16
Temporada2020,Jornada 16,5,Cagliari,29,16,8,5,3,32,21
Temporada2020,Jornada 16,6,Atalanta,28,16,8,4,4,38,25
Temporada2020,Jornada 16,7,Parma,24,16,7,3,6,23,19
Temporada2020,Jornada 16,8,Napoli,21,16,5,6,5,25,21
Temporada2020,Jornada 16,9,Torino,21,16,6,3,7,21,24
Temporada2020,Jornada 16,10,Milan,21,16,6,3,7,16,19
Temporada2020,Jornada 16,11,Sassuolo,19,16,5,4,7,28,27
Temporada2020,Jornada 16,12,Bologna,19,16,5,4,7,24,27
Temporada2020,Jornada 16,13,Hellas Verona,19,16,5,4,7,17,20
Temporada2020,Jornada 16,14,Fiorentina,17,16,4,5,7,20,24
Temporada2020,Jornada 16,15,Lecce,15,16,3,6,7,20,32
Temporada2020,Jornada 16,16,Sampdoria,15,16,4,3,9,13,25
Temporada2020,Jornada 16,17,Udinese,15,16,4,3,9,11,27
Temporada2020,Jornada 16,18,Brescia,13,16,4,1,11,14,28
Temporada2020,Jornada 16,19,Genoa,11,16,2,5,9,17,31
Temporada2020,Jornada 16,20,SPAL,9,16,2,3,11,10,25
Temporada2020,Jornada 17,1,Inter,42,17,13,3,1,36,14
Temporada2020,Jornada 17,2,Juventus,42,17,13,3,1,31,17
Temporada2020,Jornada 17,3,Lazio,37,17,11,4,2,38,16
Temporada2020,Jornada 17,4,Roma,35,17,10,5,2,33,17
Temporada2020,Jornada 17,5,Atalanta,31,17,9,4,4,43,25
Temporada2020,Jornada 17,6,Cagliari,29,17,8,5,4,33,23
Temporada2020,Jornada 17,7,Parma,25,17,7,4,6,24,20
Temporada2020,Jornada 17,8,Napoli,24,17,6,6,5,27,22
Temporada2020,Jornada 17,9,Bologna,22,17,6,4,7,27,29
Temporada2020,Jornada 17,10,Torino,21,17,6,3,8,22,26
