Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Leganés,Jornada 33,Temporada2018,0,0,8,"-0,1757176","-0,249253","0,4550202"
Levante,Jornada 33,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Málaga,Jornada 33,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 33,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Madrid,Jornada 33,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Real Sociedad,Jornada 33,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Sevilla,Jornada 33,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Valencia,Jornada 33,Temporada2018,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Villarreal,Jornada 33,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Alavés,Jornada 34,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 34,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Atlético Madrid,Jornada 34,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Barcelona,Jornada 34,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Celta de Vigo,Jornada 34,Temporada2018,2,1,2,"-0,9408204","0,5158498","1,220123"
Deportivo,Jornada 34,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Eibar,Jornada 34,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Espanyol,Jornada 34,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Getafe,Jornada 34,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Girona,Jornada 34,Temporada2018,1,0,7,"-0,4835353","0,0585647","0,7628379"
Las Palmas,Jornada 34,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Leganés,Jornada 34,Temporada2018,0,0,8,"-0,1757176","-0,249253","0,4550202"
Levante,Jornada 34,Temporada2018,1,1,4,"-0,6549674","0,2299968","0,93427"
Málaga,Jornada 34,Temporada2018,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Real Betis,Jornada 34,Temporada2018,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Real Madrid,Jornada 34,Temporada2018,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Real Sociedad,Jornada 34,Temporada2018,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Sevilla,Jornada 34,Temporada2018,0,1,7,"-0,3910791","-0,0338915","0,6703817"
Valencia,Jornada 34,Temporada2018,0,0,8,"-0,1757176","-0,249253","0,4550202"
Villarreal,Jornada 34,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 35,Temporada2018,0,1,6,"-0,3691144","-0,0558562","0,648417"
Athletic Bilbao,Jornada 35,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Atlético Madrid,Jornada 35,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Barcelona,Jornada 35,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Celta de Vigo,Jornada 35,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Deportivo,Jornada 35,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Eibar,Jornada 35,Temporada2018,0,1,4,"-0,325185","-0,0997856","0,6044876"
Espanyol,Jornada 35,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Getafe,Jornada 35,Temporada2018,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Girona,Jornada 35,Temporada2018,2,0,3,"-0,7254589","0,3004883","1,0047615"
Las Palmas,Jornada 35,Temporada2018,1,1,6,"-0,6988968","0,2739262","0,9781994"
Leganés,Jornada 35,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Levante,Jornada 35,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Málaga,Jornada 35,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Betis,Jornada 35,Temporada2018,1,1,4,"-0,6549674","0,2299968","0,93427"
Real Madrid,Jornada 35,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Sociedad,Jornada 35,Temporada2018,1,0,7,"-0,4835353","0,0585647","0,7628379"
Sevilla,Jornada 35,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Valencia,Jornada 35,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Villarreal,Jornada 35,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 36,Temporada2018,2,0,7,"-0,8133177","0,3883471","1,0926203"
Athletic Bilbao,Jornada 36,Temporada2018,1,0,6,"-0,4615706","0,0366","0,7408732"
Atlético Madrid,Jornada 36,Temporada2018,1,1,4,"-0,6549674","0,2299968","0,93427"
Barcelona,Jornada 36,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Celta de Vigo,Jornada 36,Temporada2018,1,1,0,"-0,5671086","0,142138","0,8464112"
Deportivo,Jornada 36,Temporada2018,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Eibar,Jornada 36,Temporada2018,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Espanyol,Jornada 36,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Getafe,Jornada 36,Temporada2018,1,1,5,"-0,6769321","0,2519615","0,9562347"
Girona,Jornada 36,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Las Palmas,Jornada 36,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Leganés,Jornada 36,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Levante,Jornada 36,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Málaga,Jornada 36,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 36,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Real Madrid,Jornada 36,Temporada2018,1,1,8,"-0,7428262","0,3178556","1,0221288"
Real Sociedad,Jornada 36,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Sevilla,Jornada 36,Temporada2018,0,1,4,"-0,325185","-0,0997856","0,6044876"
Valencia,Jornada 36,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Villarreal,Jornada 36,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Alavés,Jornada 37,Temporada2018,1,1,5,"-0,6769321","0,2519615","0,9562347"
Athletic Bilbao,Jornada 37,Temporada2018,1,1,1,"-0,5890733","0,1641027","0,8683759"
Atlético Madrid,Jornada 37,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Barcelona,Jornada 37,Temporada2018,1,1,4,"-0,6549674","0,2299968","0,93427"
Celta de Vigo,Jornada 37,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Deportivo,Jornada 37,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Eibar,Jornada 37,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Espanyol,Jornada 37,Temporada2018,0,1,2,"-0,2812556","-0,143715","0,5605582"
Getafe,Jornada 37,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Girona,Jornada 37,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Las Palmas,Jornada 37,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Leganés,Jornada 37,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Levante,Jornada 37,Temporada2018,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Málaga,Jornada 37,Temporada2018,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Real Betis,Jornada 37,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Madrid,Jornada 37,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Sociedad,Jornada 37,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Sevilla,Jornada 37,Temporada2018,1,1,1,"-0,5890733","0,1641027","0,8683759"
Valencia,Jornada 37,Temporada2018,1,1,8,"-0,7428262","0,3178556","1,0221288"
Villarreal,Jornada 37,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 38,Temporada2018,1,1,8,"-0,7428262","0,3178556","1,0221288"
Athletic Bilbao,Jornada 38,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Atlético Madrid,Jornada 38,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Barcelona,Jornada 38,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Celta de Vigo,Jornada 38,Temporada2018,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Deportivo,Jornada 38,Temporada2018,1,1,6,"-0,6988968","0,2739262","0,9781994"
Eibar,Jornada 38,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Espanyol,Jornada 38,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Getafe,Jornada 38,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Girona,Jornada 38,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Las Palmas,Jornada 38,Temporada2018,2,1,4,"-0,9847498","0,5597792","1,2640524"
Leganés,Jornada 38,Temporada2018,0,1,5,"-0,3471497","-0,0778209","0,6264523"
Levante,Jornada 38,Temporada2018,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Málaga,Jornada 38,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 38,Temporada2018,1,1,5,"-0,6769321","0,2519615","0,9562347"
Real Madrid,Jornada 38,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Sociedad,Jornada 38,Temporada2018,1,0,6,"-0,4615706","0,0366","0,7408732"
Sevilla,Jornada 38,Temporada2018,0,1,4,"-0,325185","-0,0997856","0,6044876"
Valencia,Jornada 38,Temporada2018,0,1,5,"-0,3471497","-0,0778209","0,6264523"
Villarreal,Jornada 38,Temporada2018,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Alavés,Jornada 1,Temporada2019,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Athletic Bilbao,Jornada 1,Temporada2019,1,1,0,"-0,5671086","0,142138","0,8464112"
Atlético Madrid,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Barcelona,Jornada 1,Temporada2019,1,0,0,"-0,3297824","-0,0951882","0,609085"
Celta de Vigo,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Eibar,Jornada 1,Temporada2019,1,0,0,"-0,3297824","-0,0951882","0,609085"
Espanyol,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Getafe,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Girona,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Huesca,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Leganés,Jornada 1,Temporada2019,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Levante,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Rayo Vallecano,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Real Betis,Jornada 1,Temporada2019,1,0,0,"-0,3297824","-0,0951882","0,609085"
Real Madrid,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Real Sociedad,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Real Valladolid,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Sevilla,Jornada 1,Temporada2019,1,0,0,"-0,3297824","-0,0951882","0,609085"
Valencia,Jornada 1,Temporada2019,1,1,0,"-0,5671086","0,142138","0,8464112"
Villarreal,Jornada 1,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Alavés,Jornada 2,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Athletic Bilbao,Jornada 2,Temporada2019,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Atlético Madrid,Jornada 2,Temporada2019,1,1,2,"-0,611038","0,1860674","0,8903406"
Barcelona,Jornada 2,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Celta de Vigo,Jornada 2,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Eibar,Jornada 2,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Espanyol,Jornada 2,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Getafe,Jornada 2,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Girona,Jornada 2,Temporada2019,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Huesca,Jornada 2,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Leganés,Jornada 2,Temporada2019,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Levante,Jornada 2,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Rayo Vallecano,Jornada 2,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Betis,Jornada 2,Temporada2019,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Real Madrid,Jornada 2,Temporada2019,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Real Sociedad,Jornada 2,Temporada2019,1,1,2,"-0,611038","0,1860674","0,8903406"
Real Valladolid,Jornada 2,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 2,Temporada2019,1,1,0,"-0,5671086","0,142138","0,8464112"
Valencia,Jornada 2,Temporada2019,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Villarreal,Jornada 2,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 3,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Athletic Bilbao,Jornada 3,Temporada2019,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Atlético Madrid,Jornada 3,Temporada2019,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Barcelona,Jornada 3,Temporada2019,1,0,0,"-0,3297824","-0,0951882","0,609085"
Celta de Vigo,Jornada 3,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Eibar,Jornada 3,Temporada2019,1,1,4,"-0,6549674","0,2299968","0,93427"
Espanyol,Jornada 3,Temporada2019,1,0,0,"-0,3297824","-0,0951882","0,609085"
Getafe,Jornada 3,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Girona,Jornada 3,Temporada2019,1,1,3,"-0,6330027","0,2080321","0,9123053"
Huesca,Jornada 3,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Leganés,Jornada 3,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Levante,Jornada 3,Temporada2019,1,1,3,"-0,6330027","0,2080321","0,9123053"
Rayo Vallecano,Jornada 3,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Betis,Jornada 3,Temporada2019,1,1,1,"-0,5890733","0,1641027","0,8683759"
Real Madrid,Jornada 3,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Sociedad,Jornada 3,Temporada2019,0,1,2,"-0,2812556","-0,143715","0,5605582"
Real Valladolid,Jornada 3,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Sevilla,Jornada 3,Temporada2019,2,0,1,"-0,6815295","0,2565589","0,9608321"
Valencia,Jornada 3,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Villarreal,Jornada 3,Temporada2019,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Alavés,Jornada 4,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 4,Temporada2019,0,1,4,"-0,325185","-0,0997856","0,6044876"
Atlético Madrid,Jornada 4,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 4,Temporada2019,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Celta de Vigo,Jornada 4,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Eibar,Jornada 4,Temporada2019,0,1,4,"-0,325185","-0,0997856","0,6044876"
Espanyol,Jornada 4,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Getafe,Jornada 4,Temporada2019,1,1,3,"-0,6330027","0,2080321","0,9123053"
Girona,Jornada 4,Temporada2019,1,1,2,"-0,611038","0,1860674","0,8903406"
Huesca,Jornada 4,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Leganés,Jornada 4,Temporada2019,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Levante,Jornada 4,Temporada2019,1,1,4,"-0,6549674","0,2299968","0,93427"
Rayo Vallecano,Jornada 4,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Betis,Jornada 4,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Madrid,Jornada 4,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Sociedad,Jornada 4,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Valladolid,Jornada 4,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Sevilla,Jornada 4,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Valencia,Jornada 4,Temporada2019,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Villarreal,Jornada 4,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Alavés,Jornada 5,Temporada2019,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Athletic Bilbao,Jornada 5,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Atlético Madrid,Jornada 5,Temporada2019,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Barcelona,Jornada 5,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Celta de Vigo,Jornada 5,Temporada2019,1,0,5,"-0,4396059","0,0146353","0,7189085"
Eibar,Jornada 5,Temporada2019,1,1,5,"-0,6769321","0,2519615","0,9562347"
Espanyol,Jornada 5,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Getafe,Jornada 5,Temporada2019,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Girona,Jornada 5,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Huesca,Jornada 5,Temporada2019,2,0,3,"-0,7254589","0,3004883","1,0047615"
Leganés,Jornada 5,Temporada2019,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Levante,Jornada 5,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Rayo Vallecano,Jornada 5,Temporada2019,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Real Betis,Jornada 5,Temporada2019,2,0,2,"-0,7034942","0,2785236","0,9827968"
Real Madrid,Jornada 5,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Sociedad,Jornada 5,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Valladolid,Jornada 5,Temporada2019,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Sevilla,Jornada 5,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Valencia,Jornada 5,Temporada2019,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Villarreal,Jornada 5,Temporada2019,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Alavés,Jornada 6,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Athletic Bilbao,Jornada 6,Temporada2019,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Atlético Madrid,Jornada 6,Temporada2019,1,1,4,"-0,6549674","0,2299968","0,93427"
Barcelona,Jornada 6,Temporada2019,1,0,6,"-0,4615706","0,0366","0,7408732"
Celta de Vigo,Jornada 6,Temporada2019,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Eibar,Jornada 6,Temporada2019,0,1,8,"-0,4130438","-0,0119268","0,6923464"
Espanyol,Jornada 6,Temporada2019,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Getafe,Jornada 6,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Girona,Jornada 6,Temporada2019,2,0,3,"-0,7254589","0,3004883","1,0047615"
Huesca,Jornada 6,Temporada2019,1,1,2,"-0,611038","0,1860674","0,8903406"
Leganés,Jornada 6,Temporada2019,0,1,6,"-0,3691144","-0,0558562","0,648417"
Levante,Jornada 6,Temporada2019,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Rayo Vallecano,Jornada 6,Temporada2019,0,1,4,"-0,325185","-0,0997856","0,6044876"
Real Betis,Jornada 6,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Madrid,Jornada 6,Temporada2019,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Sociedad,Jornada 6,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Valladolid,Jornada 6,Temporada2019,1,1,2,"-0,611038","0,1860674","0,8903406"
Sevilla,Jornada 6,Temporada2019,1,1,1,"-0,5890733","0,1641027","0,8683759"
Valencia,Jornada 6,Temporada2019,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Villarreal,Jornada 6,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Alavés,Jornada 7,Temporada2019,1,1,5,"-0,6769321","0,2519615","0,9562347"
Athletic Bilbao,Jornada 7,Temporada2019,1,1,4,"-0,6549674","0,2299968","0,93427"
Atlético Madrid,Jornada 7,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 7,Temporada2019,0,1,5,"-0,3471497","-0,0778209","0,6264523"
Celta de Vigo,Jornada 7,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 7,Temporada2019,1,0,7,"-0,4835353","0,0585647","0,7628379"
Espanyol,Jornada 7,Temporada2019,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Getafe,Jornada 7,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Girona,Jornada 7,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Huesca,Jornada 7,Temporada2019,2,1,5,"-1,0067145","0,5817439","1,2860171"
Leganés,Jornada 7,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Levante,Jornada 7,Temporada2019,1,1,7,"-0,7208615","0,2958909","1,0001641"
Rayo Vallecano,Jornada 7,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 7,Temporada2019,1,0,7,"-0,4835353","0,0585647","0,7628379"
Real Madrid,Jornada 7,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Sociedad,Jornada 7,Temporada2019,1,1,5,"-0,6769321","0,2519615","0,9562347"
Real Valladolid,Jornada 7,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 7,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Valencia,Jornada 7,Temporada2019,0,0,8,"-0,1757176","-0,249253","0,4550202"
Villarreal,Jornada 7,Temporada2019,2,0,1,"-0,6815295","0,2565589","0,9608321"
Alavés,Jornada 8,Temporada2019,1,1,5,"-0,6769321","0,2519615","0,9562347"
Athletic Bilbao,Jornada 8,Temporada2019,1,1,1,"-0,5890733","0,1641027","0,8683759"
Atlético Madrid,Jornada 8,Temporada2019,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Barcelona,Jornada 8,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Celta de Vigo,Jornada 8,Temporada2019,1,1,3,"-0,6330027","0,2080321","0,9123053"
Eibar,Jornada 8,Temporada2019,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Espanyol,Jornada 8,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Getafe,Jornada 8,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Girona,Jornada 8,Temporada2019,2,0,2,"-0,7034942","0,2785236","0,9827968"
Huesca,Jornada 8,Temporada2019,1,0,5,"-0,4396059","0,0146353","0,7189085"
Leganés,Jornada 8,Temporada2019,1,1,4,"-0,6549674","0,2299968","0,93427"
Levante,Jornada 8,Temporada2019,1,1,0,"-0,5671086","0,142138","0,8464112"
Rayo Vallecano,Jornada 8,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Betis,Jornada 8,Temporada2019,1,1,6,"-0,6988968","0,2739262","0,9781994"
Real Madrid,Jornada 8,Temporada2019,0,1,2,"-0,2812556","-0,143715","0,5605582"
Real Sociedad,Jornada 8,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Valladolid,Jornada 8,Temporada2019,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Sevilla,Jornada 8,Temporada2019,0,0,0,0,"-0,4249706","0,2793026"
Valencia,Jornada 8,Temporada2019,0,1,4,"-0,325185","-0,0997856","0,6044876"
Villarreal,Jornada 8,Temporada2019,2,0,3,"-0,7254589","0,3004883","1,0047615"
Alavés,Jornada 9,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Athletic Bilbao,Jornada 9,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Atlético Madrid,Jornada 9,Temporada2019,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Barcelona,Jornada 9,Temporada2019,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Celta de Vigo,Jornada 9,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Eibar,Jornada 9,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
Espanyol,Jornada 9,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Getafe,Jornada 9,Temporada2019,1,1,3,"-0,6330027","0,2080321","0,9123053"
Girona,Jornada 9,Temporada2019,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Huesca,Jornada 9,Temporada2019,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Leganés,Jornada 9,Temporada2019,1,1,3,"-0,6330027","0,2080321","0,9123053"
Levante,Jornada 9,Temporada2019,1,1,2,"-0,611038","0,1860674","0,8903406"
Rayo Vallecano,Jornada 9,Temporada2019,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Real Betis,Jornada 9,Temporada2019,0,1,4,"-0,325185","-0,0997856","0,6044876"
Real Madrid,Jornada 9,Temporada2019,1,0,5,"-0,4396059","0,0146353","0,7189085"
Real Sociedad,Jornada 9,Temporada2019,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Valladolid,Jornada 9,Temporada2019,1,1,1,"-0,5890733","0,1641027","0,8683759"
Sevilla,Jornada 9,Temporada2019,1,1,0,"-0,5671086","0,142138","0,8464112"
Valencia,Jornada 9,Temporada2019,1,1,4,"-0,6549674","0,2299968","0,93427"
Villarreal,Jornada 9,Temporada2019,1,1,4,"-0,6549674","0,2299968","0,93427"
Alavés,Jornada 10,Temporada2019,1,1,2,"-0,611038","0,1860674","0,8903406"
Athletic Bilbao,Jornada 10,Temporada2019,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Atlético Madrid,Jornada 10,Temporada2019,1,1,5,"-0,6769321","0,2519615","0,9562347"
Barcelona,Jornada 10,Temporada2019,0,0,2,"-0,0439294","-0,3810412","0,323232"
