Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Eibar,Jornada 5,Temporada2017,1,0,9,"-0,5274647","0,1024941","0,8067673"
Espanyol,Jornada 5,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Granada,Jornada 5,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Las Palmas,Jornada 5,Temporada2017,2,0,4,"-0,7474236","0,322453","1,0267262"
Leganés,Jornada 5,Temporada2017,1,0,6,"-0,4615706","0,0366","0,7408732"
Málaga,Jornada 5,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Osasuna,Jornada 5,Temporada2017,1,0,6,"-0,4615706","0,0366","0,7408732"
Real Betis,Jornada 5,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Real Madrid,Jornada 5,Temporada2017,1,1,6,"-0,6988968","0,2739262","0,9781994"
Real Sociedad,Jornada 5,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Sporting,Jornada 5,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Sevilla,Jornada 5,Temporada2017,0,0,9,"-0,1976823","-0,2272883","0,4769849"
Valencia,Jornada 5,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Villarreal,Jornada 5,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Alavés,Jornada 6,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Athletic Bilbao,Jornada 6,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Atlético Madrid,Jornada 6,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Barcelona,Jornada 6,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Celta de Vigo,Jornada 6,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Deportivo,Jornada 6,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Eibar,Jornada 6,Temporada2017,0,0,8,"-0,1757176","-0,249253","0,4550202"
Espanyol,Jornada 6,Temporada2017,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Granada,Jornada 6,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Las Palmas,Jornada 6,Temporada2017,0,1,7,"-0,3910791","-0,0338915","0,6703817"
Leganés,Jornada 6,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Málaga,Jornada 6,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Osasuna,Jornada 6,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Real Betis,Jornada 6,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Real Madrid,Jornada 6,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Real Sociedad,Jornada 6,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Sporting,Jornada 6,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Sevilla,Jornada 6,Temporada2017,1,1,6,"-0,6988968","0,2739262","0,9781994"
Valencia,Jornada 6,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Villarreal,Jornada 6,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Alavés,Jornada 7,Temporada2017,1,1,1,"-0,5890733","0,1641027","0,8683759"
Athletic Bilbao,Jornada 7,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Atlético Madrid,Jornada 7,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Barcelona,Jornada 7,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Celta de Vigo,Jornada 7,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Deportivo,Jornada 7,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Eibar,Jornada 7,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Espanyol,Jornada 7,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Granada,Jornada 7,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Las Palmas,Jornada 7,Temporada2017,2,0,4,"-0,7474236","0,322453","1,0267262"
Leganés,Jornada 7,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Málaga,Jornada 7,Temporada2017,2,1,3,"-0,9627851","0,5378145","1,2420877"
Osasuna,Jornada 7,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Real Betis,Jornada 7,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Madrid,Jornada 7,Temporada2017,1,0,6,"-0,4615706","0,0366","0,7408732"
Real Sociedad,Jornada 7,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Sporting,Jornada 7,Temporada2017,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Sevilla,Jornada 7,Temporada2017,0,1,7,"-0,3910791","-0,0338915","0,6703817"
Valencia,Jornada 7,Temporada2017,1,1,0,"-0,5671086","0,142138","0,8464112"
Villarreal,Jornada 7,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 8,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 8,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Atlético Madrid,Jornada 8,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Barcelona,Jornada 8,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Celta de Vigo,Jornada 8,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Deportivo,Jornada 8,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Eibar,Jornada 8,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Espanyol,Jornada 8,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Granada,Jornada 8,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Las Palmas,Jornada 8,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Leganés,Jornada 8,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Málaga,Jornada 8,Temporada2017,2,1,4,"-0,9847498","0,5597792","1,2640524"
Osasuna,Jornada 8,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 8,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Madrid,Jornada 8,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
