Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Serie A,Temporada2019,Jornada 30,Empoli,17,28,38,56,LOCAL,2 - 1,2 ,2,81,0,0,1,16,1,40,0,16,66,71,0,0,1,1,0,2,1,0,0,0,1,0,2,50,0,2,18,25,Napoli,2,63,27,72,181,0
Serie A,Temporada2019,Jornada 30,Bologna,18,27,28,47,VISITANTE,4 - 1, 1,3,85,0,0,0,10,1,36,1,33,71,69,0,0,0,1,0,8,0,0,0,0,0,2,3,69,0,4,17,27,Atalanta,6,48,25,74,182,0
Serie A,Temporada2019,Jornada 30,Frosinone,19,20,24,56,LOCAL,3 - 2,3 ,3,84,0,0,0,16,1,27,2,24,78,70,0,0,0,1,0,4,1,0,0,1,0,2,3,75,0,1,19,17,Parma,11,33,27,75,183,0
Serie A,Temporada2019,Jornada 30,Chievo,20,11,21,61,VISITANTE,4 - 0, 0,3,85,0,1,0,15,2,29,1,24,60,67,0,0,0,1,0,5,1,1,1,0,0,4,1,77,0,4,20,11,Sassuolo,14,32,29,75,182,0
Serie A,Temporada2019,Jornada 31,Juventus,1,84,64,20,LOCAL,2 - 1,2 ,3,78,0,0,1,13,1,29,1,36,50,71,0,0,1,0,0,5,1,0,0,0,1,2,2,58,0,2,1,81,Milan,4,52,27,76,185,0
Serie A,Temporada2019,Jornada 31,Napoli,2,64,58,27,LOCAL,1 - 1,1 ,3,89,0,1,2,18,1,16,0,44,76,66,0,0,0,1,0,6,0,0,0,0,0,2,2,56,0,4,2,63,Genoa,14,33,28,73,183,0
Serie A,Temporada2019,Jornada 31,Inter,3,57,47,25,LOCAL,0 - 0,0 ,3,90,0,0,0,10,2,47,1,33,55,72,0,0,0,1,0,1,0,0,0,0,0,2,1,59,0,2,3,56,Atalanta,5,51,29,76,183,0
Serie A,Temporada2019,Jornada 31,Atalanta,4,52,64,41,VISITANTE,0 - 0, 0,3,84,0,0,1,27,1,19,1,33,72,68,0,0,0,0,0,3,1,1,0,0,0,1,2,52,0,2,5,51,Inter,3,56,27,77,184,0
Serie A,Temporada2019,Jornada 31,Milan,5,52,45,30,VISITANTE,2 - 1, 1,2,81,0,1,1,17,0,38,1,23,80,71,0,0,0,0,0,6,1,0,0,1,0,4,2,61,0,3,4,52,Juventus,1,81,26,75,181,0
Serie A,Temporada2019,Jornada 31,Lazio,6,52,46,32,LOCAL,2 - 2,2 ,3,90,0,0,0,20,2,35,1,35,70,68,0,0,0,1,0,4,0,0,0,0,0,0,2,70,0,2,6,51,Sassuolo,11,35,30,75,185,0
Serie A,Temporada2019,Jornada 31,Roma,7,51,56,45,VISITANTE,0 - 1, 1,3,89,0,0,1,19,1,30,1,38,63,68,0,0,0,0,0,5,1,1,0,0,0,2,2,68,0,2,8,48,Sampdoria,9,45,27,78,186,0
Serie A,Temporada2019,Jornada 31,Torino,8,49,40,28,VISITANTE,0 - 0, 0,2,89,0,1,1,28,1,29,0,24,61,71,0,0,0,1,0,0,0,0,0,0,0,0,5,69,0,2,7,48,Parma,12,33,29,76,182,0
Serie A,Temporada2019,Jornada 31,Sampdoria,9,45,51,41,LOCAL,0 - 1,0 ,3,89,0,0,0,7,3,50,0,32,68,69,0,0,0,1,0,4,1,1,0,0,0,1,2,72,0,1,9,45,Roma,8,48,26,75,182,0
Serie A,Temporada2019,Jornada 31,Fiorentina,10,39,46,39,LOCAL,0 - 1,0 ,3,86,0,1,0,12,2,40,1,31,65,67,0,0,0,1,0,3,0,0,0,0,0,0,1,73,0,4,10,39,Frosinone,19,20,25,74,181,0
Serie A,Temporada2019,Jornada 31,Cagliari,11,36,30,43,LOCAL,2 - 1,2 ,3,89,0,0,0,12,3,60,0,6,79,69,0,0,0,1,0,3,1,1,0,0,0,2,4,64,0,4,13,33,SPAL,15,32,27,73,183,0
Serie A,Temporada2019,Jornada 31,Sassuolo,12,36,46,51,VISITANTE,2 - 2, 2,3,89,0,0,0,9,2,28,1,46,74,69,0,0,0,1,0,5,0,0,0,0,0,0,1,66,0,5,11,35,Lazio,6,51,26,74,182,0
Serie A,Temporada2019,Jornada 31,Parma,13,34,33,50,LOCAL,0 - 0,0 ,3,89,0,0,2,11,0,29,1,39,83,71,0,0,0,1,0,3,0,0,0,0,0,0,4,63,0,1,12,33,Torino,7,48,29,78,183,0
Serie A,Temporada2019,Jornada 31,Genoa,14,34,35,49,VISITANTE,1 - 1, 1,3,88,0,0,0,9,2,43,1,17,73,68,0,0,0,0,0,7,1,1,1,0,0,0,0,70,1,4,14,33,Napoli,2,63,27,73,181,0
Serie A,Temporada2019,Jornada 31,Udinese,15,32,30,45,LOCAL,3 - 2,3 ,3,80,0,0,0,20,1,27,2,29,79,71,0,0,0,0,0,4,1,0,0,1,0,2,2,66,1,3,16,29,Empoli,17,28,25,80,185,0
Serie A,Temporada2019,Jornada 31,SPAL,16,32,28,44,VISITANTE,2 - 1, 1,3,89,0,0,1,19,2,46,0,21,72,71,0,0,0,1,0,6,1,1,0,1,0,2,3,82,0,4,15,32,Cagliari,13,33,29,75,183,0
Serie A,Temporada2019,Jornada 31,Bologna,17,30,31,47,LOCAL,3 - 0,3 ,3,88,0,0,2,10,1,37,0,34,88,69,0,0,0,1,0,6,1,1,0,0,0,2,1,72,0,4,18,27,Chievo,20,11,28,76,183,0
Serie A,Temporada2019,Jornada 31,Empoli,18,28,40,59,VISITANTE,3 - 2, 2,3,83,0,0,2,17,1,41,0,16,66,70,0,0,0,1,0,1,0,0,0,0,0,1,4,52,0,2,17,28,Udinese,16,29,27,72,181,0
Serie A,Temporada2019,Jornada 31,Frosinone,19,23,25,56,VISITANTE,0 - 1, 1,3,87,0,0,0,16,1,28,2,26,64,71,0,0,0,0,0,2,0,0,0,0,0,2,4,78,0,1,19,20,Fiorentina,10,39,26,75,184,0
Serie A,Temporada2019,Jornada 31,Chievo,20,11,21,64,VISITANTE,3 - 0, 0,3,88,0,1,1,15,1,31,1,25,74,67,0,0,0,1,0,4,0,0,0,0,0,4,6,78,1,4,20,11,Bologna,18,27,25,75,183,0
Serie A,Temporada2019,Jornada 32,Juventus,1,84,65,22,VISITANTE,2 - 1, 1,3,81,0,0,1,14,1,30,1,37,70,70,0,0,0,0,0,7,1,1,0,1,0,3,2,60,0,2,1,84,SPAL,16,32,25,72,182,1
Serie A,Temporada2019,Jornada 32,Napoli,2,67,61,28,VISITANTE,1 - 3, 3,3,92,0,1,0,20,1,17,2,44,73,67,0,0,0,0,0,3,0,0,0,0,0,2,0,58,0,4,2,64,Chievo,20,11,28,71,180,1
Serie A,Temporada2019,Jornada 32,Inter,3,60,50,26,VISITANTE,1 - 3, 3,3,93,0,0,0,10,1,49,2,34,77,71,0,0,0,0,0,3,1,0,0,0,0,2,1,60,0,2,3,57,Frosinone,19,23,29,76,182,0
Serie A,Temporada2019,Jornada 32,Milan,4,55,46,30,LOCAL,1 - 0,1 ,3,83,0,1,2,18,0,38,1,24,73,71,0,0,0,1,0,0,0,0,0,0,0,4,1,63,0,3,5,52,Lazio,6,52,26,75,181,0
Serie A,Temporada2019,Jornada 32,Roma,5,54,57,45,LOCAL,1 - 0,1 ,3,92,0,0,1,20,1,31,1,39,53,68,0,0,0,1,0,4,1,1,0,0,0,2,2,70,0,2,7,51,Udinese,15,32,29,79,187,0
Serie A,Temporada2019,Jornada 32,Atalanta,6,53,64,41,LOCAL,0 - 0,0 ,3,87,0,0,1,28,0,20,2,34,76,68,0,0,0,0,0,3,0,0,0,0,0,1,1,54,0,2,4,52,Empoli,18,28,28,77,183,0
Serie A,Temporada2019,Jornada 32,Lazio,7,52,46,33,VISITANTE,1 - 0, 0,3,93,0,0,1,20,1,37,1,36,67,68,0,0,0,0,0,6,1,1,0,0,0,0,2,72,0,2,6,52,Milan,5,52,28,75,185,0
Serie A,Temporada2019,Jornada 32,Torino,8,50,41,29,LOCAL,1 - 1,1 ,3,91,0,1,1,29,1,30,1,24,66,70,0,0,0,1,0,1,1,1,0,0,0,0,2,74,1,2,8,49,Cagliari,11,36,29,77,182,0
Serie A,Temporada2019,Jornada 32,Sampdoria,9,48,53,41,LOCAL,2 - 0,2 ,3,92,0,0,1,7,1,53,1,32,70,69,0,0,0,1,0,3,0,0,0,0,0,1,2,74,0,1,9,45,Genoa,14,34,27,76,183,0
Serie A,Temporada2019,Jornada 32,Fiorentina,10,40,46,39,LOCAL,0 - 0,0 ,3,89,0,1,0,12,1,42,2,32,73,67,0,0,0,1,0,3,0,0,0,0,0,0,2,74,0,4,10,39,Bologna,17,30,25,74,183,0
Serie A,Temporada2019,Jornada 32,Cagliari,11,37,31,44,VISITANTE,1 - 1, 1,3,92,0,0,0,12,2,63,1,6,74,69,0,0,0,0,0,3,1,1,0,0,0,2,3,68,2,4,11,36,Torino,8,49,29,73,182,0
Serie A,Temporada2019,Jornada 32,Sassuolo,12,37,46,51,LOCAL,0 - 0,0 ,3,92,0,0,0,9,2,30,1,47,74,69,0,0,0,1,0,4,0,0,0,0,0,0,3,67,0,5,12,36,Parma,13,34,28,75,183,0
Serie A,Temporada2019,Jornada 32,Parma,13,35,33,50,VISITANTE,0 - 0, 0,3,92,0,0,0,13,1,29,2,40,60,72,0,0,0,0,0,2,1,1,0,0,0,0,2,67,0,1,13,34,Sassuolo,12,36,30,76,181,0
Serie A,Temporada2019,Jornada 32,SPAL,14,35,30,45,LOCAL,2 - 1,2 ,3,92,0,0,0,20,1,48,2,21,81,71,0,0,0,1,0,5,1,0,0,0,0,2,5,85,0,4,16,32,Juventus,1,84,28,76,183,0
Serie A,Temporada2019,Jornada 32,Genoa,15,34,35,51,VISITANTE,2 - 0, 0,3,91,0,0,0,9,2,45,1,18,68,68,0,0,0,1,0,2,1,0,1,0,0,0,5,70,1,5,14,34,Sampdoria,9,45,26,73,181,0
Serie A,Temporada2019,Jornada 32,Udinese,16,32,30,46,VISITANTE,1 - 0, 0,3,83,0,0,1,20,2,28,0,31,75,72,0,0,0,1,0,2,1,0,1,0,0,2,3,68,0,4,15,32,Roma,7,51,26,80,184,0
Serie A,Temporada2019,Jornada 32,Bologna,17,31,31,47,VISITANTE,0 - 0, 0,3,91,0,0,0,12,2,38,1,34,77,70,0,0,0,1,0,1,0,0,0,0,0,2,3,73,0,4,17,30,Fiorentina,10,39,28,76,184,0
Serie A,Temporada2019,Jornada 32,Empoli,18,29,40,59,VISITANTE,0 - 0, 0,3,86,0,0,2,19,0,42,1,16,44,70,0,0,0,0,0,3,1,1,0,0,0,1,3,56,0,2,18,28,Atalanta,4,52,25,73,181,0
Serie A,Temporada2019,Jornada 32,Frosinone,19,23,26,59,LOCAL,1 - 3,1 ,3,90,0,0,0,16,1,29,2,28,77,70,0,0,0,1,0,3,1,0,0,0,0,2,3,82,0,1,19,23,Inter,3,57,26,74,183,0
Serie A,Temporada2019,Jornada 32,Chievo,20,11,22,67,LOCAL,1 - 3,1 ,3,91,0,1,0,16,0,32,3,26,73,67,0,0,0,0,0,4,1,0,1,0,0,4,0,84,0,5,20,11,Napoli,2,64,29,75,180,0
Serie A,Temporada2019,Jornada 33,Juventus,1,87,67,23,LOCAL,2 - 1,2 ,3,84,0,0,0,15,1,31,2,38,75,70,0,0,0,0,0,9,1,0,0,0,0,3,0,62,0,2,1,84,Fiorentina,10,40,29,75,184,1
Serie A,Temporada2019,Jornada 33,Napoli,2,67,62,30,LOCAL,1 - 2,1 ,3,95,0,1,1,20,1,18,1,46,57,67,0,0,1,0,0,2,0,0,0,0,1,2,3,58,0,4,2,67,Atalanta,6,53,28,71,181,1
Serie A,Temporada2019,Jornada 33,Inter,3,61,51,27,LOCAL,1 - 1,1 ,3,96,0,0,0,10,1,50,2,36,72,71,0,0,0,0,0,1,0,0,0,0,0,2,1,61,0,2,3,60,Roma,5,54,29,76,181,0
Serie A,Temporada2019,Jornada 33,Atalanta,4,56,66,42,VISITANTE,1 - 2, 2,3,90,0,0,2,29,1,20,0,36,58,68,0,0,0,1,0,3,0,0,0,0,0,1,1,55,0,2,6,53,Napoli,2,67,27,76,183,0
Serie A,Temporada2019,Jornada 33,Milan,5,56,47,31,VISITANTE,1 - 1, 1,3,86,0,1,1,20,2,38,0,25,66,71,0,0,0,1,0,3,0,0,0,0,0,4,1,64,0,3,4,55,Parma,13,35,25,75,183,0
Serie A,Temporada2019,Jornada 33,Roma,6,55,58,46,VISITANTE,1 - 1, 1,2,95,0,0,0,21,1,32,1,40,63,67,0,0,0,1,0,5,1,0,0,0,0,2,2,72,0,2,5,54,Inter,3,60,29,77,186,0
Serie A,Temporada2019,Jornada 33,Torino,7,53,42,29,VISITANTE,0 - 1, 1,2,94,0,1,0,30,1,31,1,25,77,70,0,0,0,1,0,2,1,0,1,0,0,0,4,76,0,3,8,50,Genoa,15,34,29,74,181,0
Serie A,Temporada2019,Jornada 33,Lazio,8,52,47,35,LOCAL,1 - 2,1 ,3,96,0,0,2,21,1,38,0,37,37,68,0,0,0,0,0,6,1,0,0,0,0,0,0,74,2,2,7,52,Chievo,20,11,28,75,184,0
Serie A,Temporada2019,Jornada 33,Sampdoria,9,48,53,44,VISITANTE,3 - 0, 0,3,95,0,0,1,8,2,54,0,33,69,69,0,0,0,1,0,1,0,0,0,0,0,1,4,76,0,1,9,48,Bologna,17,31,27,76,182,0
Serie A,Temporada2019,Jornada 33,Cagliari,10,40,32,44,LOCAL,1 - 0,1 ,3,95,0,0,1,12,2,65,0,7,72,69,0,0,0,1,0,4,1,1,1,0,0,2,1,71,1,6,11,37,Frosinone,19,23,30,78,184,0
Serie A,Temporada2019,Jornada 33,Fiorentina,11,40,47,41,VISITANTE,2 - 1, 1,3,92,0,1,0,12,1,43,2,34,73,67,0,0,0,1,0,3,0,0,0,0,0,0,1,76,0,4,10,40,Juventus,1,84,25,75,185,0
Serie A,Temporada2019,Jornada 33,Sassuolo,12,38,47,52,VISITANTE,1 - 1, 1,3,95,0,0,1,9,1,32,1,48,65,69,0,0,0,1,0,3,0,0,0,0,0,0,2,70,0,5,12,37,Udinese,16,32,25,74,181,0
Serie A,Temporada2019,Jornada 33,SPAL,13,38,34,47,VISITANTE,2 - 4, 4,3,95,0,0,0,20,1,49,2,23,86,71,0,0,0,1,0,2,1,1,0,0,0,2,5,90,0,4,14,35,Empoli,18,29,28,77,183,0
Serie A,Temporada2019,Jornada 33,Parma,14,36,34,51,LOCAL,1 - 1,1 ,3,95,0,0,1,13,1,30,1,42,79,71,0,0,0,0,0,2,0,0,0,0,0,0,0,69,0,1,13,35,Milan,4,55,31,76,181,0
Serie A,Temporada2019,Jornada 33,Bologna,15,34,34,47,LOCAL,3 - 0,3 ,3,94,0,0,1,12,2,40,0,35,83,70,0,0,0,1,0,2,1,1,0,0,0,2,2,76,0,4,17,31,Sampdoria,9,48,28,73,182,0
Serie A,Temporada2019,Jornada 33,Genoa,16,34,35,52,LOCAL,0 - 1,0 ,3,94,0,0,0,9,2,47,1,19,50,68,0,0,0,1,0,6,1,1,1,0,0,0,4,75,0,6,15,34,Torino,8,50,28,76,183,0
Serie A,Temporada2019,Jornada 33,Udinese,17,33,31,47,LOCAL,1 - 1,1 ,3,86,0,0,2,21,1,30,0,31,50,72,0,0,1,1,0,1,0,0,0,0,1,2,3,71,0,4,16,32,Sassuolo,12,37,26,79,183,0
Serie A,Temporada2019,Jornada 33,Empoli,18,29,42,63,LOCAL,2 - 4,2 ,3,89,0,0,2,21,1,42,0,17,44,69,0,0,1,1,0,2,1,0,0,0,1,1,3,59,0,2,18,29,SPAL,14,35,25,73,181,0
Serie A,Temporada2019,Jornada 33,Frosinone,19,23,26,60,VISITANTE,1 - 0, 0,3,93,0,0,1,16,0,30,2,30,72,71,0,0,0,0,0,3,1,1,0,0,0,2,1,85,0,1,19,23,Cagliari,11,37,27,74,182,0
Serie A,Temporada2019,Jornada 33,Chievo,20,14,24,68,VISITANTE,1 - 2, 2,3,94,0,1,0,16,1,32,2,29,76,67,0,0,0,1,0,4,1,0,0,0,0,4,4,84,0,5,20,11,Lazio,7,52,26,77,184,0
Serie A,Temporada2019,Jornada 34,Juventus,1,88,68,24,VISITANTE,1 - 1, 1,3,87,0,0,1,15,1,32,1,40,65,70,0,0,0,1,0,1,0,0,0,0,0,3,3,62,0,2,1,87,Inter,3,61,29,75,184,0
Serie A,Temporada2019,Jornada 34,Napoli,2,70,64,30,VISITANTE,0 - 2, 2,3,98,0,1,1,21,0,19,2,47,79,66,0,0,0,0,0,3,1,0,0,1,0,3,1,61,0,4,2,67,Frosinone,19,23,27,71,182,0
Serie A,Temporada2019,Jornada 34,Inter,3,62,52,28,LOCAL,1 - 1,1 ,3,99,0,0,0,10,1,51,2,38,78,71,0,0,0,0,0,2,0,0,0,0,0,2,1,62,0,2,3,61,Juventus,1,87,29,75,182,0
Serie A,Temporada2019,Jornada 34,Atalanta,4,59,68,42,LOCAL,2 - 0,2 ,3,93,0,0,2,31,1,21,0,36,62,68,0,0,0,0,0,2,0,0,0,0,0,1,0,56,0,2,4,56,Udinese,17,33,27,76,183,1
Serie A,Temporada2019,Jornada 34,Roma,5,58,61,46,LOCAL,3 - 0,3 ,3,97,0,0,0,21,1,33,2,41,75,67,0,0,0,0,0,2,1,1,0,0,0,2,1,74,0,2,6,55,Cagliari,10,40,29,77,186,0
Serie A,Temporada2019,Jornada 34,Torino,6,56,44,29,LOCAL,2 - 0,2 ,2,96,0,1,0,30,1,32,1,26,80,70,0,0,0,1,0,2,1,1,0,0,0,0,2,80,0,3,7,53,Milan,5,56,29,77,182,0
Serie A,Temporada2019,Jornada 34,Milan,7,56,47,33,VISITANTE,2 - 0, 0,3,89,0,1,1,21,1,40,1,25,65,71,0,0,0,1,0,3,0,0,0,0,0,4,5,65,1,3,5,56,Torino,7,53,24,75,183,1
