uefa_temporada,uefa_grupo,uefa_fecha,uefa_local,uefa_visitante,uefa_resultado
Temporada2017,Grupo 5,15 Sep 16,Astra,Austria,2 - 3
Temporada2017,Grupo 5,15 Sep 16,Viktoria,Roma,1 - 1
Temporada2017,Grupo 5,29 Sep 16,Roma,Astra,4 - 0
Temporada2017,Grupo 5,29 Sep 16,Austria,Viktoria,0 - 0
Temporada2017,Grupo 5,20 Oct 16,Roma,Austria,3 - 3
Temporada2017,Grupo 5,20 Oct 16,Viktoria,Astra,1 - 2
Temporada2017,Grupo 5,03 Nov 16,Astra,Viktoria,1 - 1
Temporada2017,Grupo 5,03 Nov 16,Austria,Roma,2 - 4
Temporada2017,Grupo 5,24 Nov 16,Roma,Viktoria,4 - 1
Temporada2017,Grupo 5,24 Nov 16,Austria,Astra,1 - 2
Temporada2017,Grupo 5,08 Dic 16,Astra,Roma,0 - 0
Temporada2017,Grupo 5,08 Dic 16,Viktoria,Austria,3 - 2
Temporada2017,Grupo 6,15 Sep 16,Rapid Wien,Genk,3 - 2
Temporada2017,Grupo 6,15 Sep 16,Sassuolo,Athletic Bilbao,3 - 0
Temporada2017,Grupo 6,29 Sep 16,Athletic Bilbao,Rapid Wien,1 - 0
Temporada2017,Grupo 6,29 Sep 16,Genk,Sassuolo,3 - 1
Temporada2017,Grupo 6,20 Oct 16,Genk,Athletic Bilbao,2 - 0
Temporada2017,Grupo 6,20 Oct 16,Rapid Wien,Sassuolo,1 - 1
Temporada2017,Grupo 6,03 Nov 16,Athletic Bilbao,Genk,5 - 3
Temporada2017,Grupo 6,03 Nov 16,Sassuolo,Rapid Wien,2 - 2
Temporada2017,Grupo 6,24 Nov 16,Genk,Rapid Wien,1 - 0
Temporada2017,Grupo 6,24 Nov 16,Athletic Bilbao,Sassuolo,3 - 2
Temporada2017,Grupo 6,08 Dic 16,Rapid Wien,Athletic Bilbao,1 - 1
Temporada2017,Grupo 6,09 Dic 16,Sassuolo,Genk,0 - 2
Temporada2017,Grupo 7,15 Sep 16,Panathinaik,Ajax,1 - 2
Temporada2017,Grupo 7,15 Sep 16,Standard,Celta de Vigo,1 - 1
Temporada2017,Grupo 7,29 Sep 16,Ajax,Standard,1 - 0
Temporada2017,Grupo 7,29 Sep 16,Celta de Vigo,Panathinaik,2 - 0
Temporada2017,Grupo 7,20 Oct 16,Celta de Vigo,Ajax,2 - 2
Temporada2017,Grupo 7,20 Oct 16,Standard,Panathinaik,2 - 2
Temporada2017,Grupo 7,03 Nov 16,Ajax,Celta de Vigo,3 - 2
Temporada2017,Grupo 7,03 Nov 16,Panathinaik,Standard,0 - 3
Temporada2017,Grupo 7,24 Nov 16,Ajax,Panathinaik,2 - 0
Temporada2017,Grupo 7,24 Nov 16,Celta de Vigo,Standard,1 - 1
Temporada2017,Grupo 7,08 Dic 16,Panathinaik,Celta de Vigo,0 - 2
Temporada2017,Grupo 7,08 Dic 16,Standard,Ajax,1 - 1
Temporada2017,Grupo 8,15 Sep 16,Sporting,KAA Gent,1 - 1
Temporada2017,Grupo 8,15 Sep 16,Konyaspor,Shakhtar,0 - 1
Temporada2017,Grupo 8,29 Sep 16,KAA Gent,Konyaspor,2 - 0
Temporada2017,Grupo 8,29 Sep 16,Shakhtar,Sporting,2 - 0
Temporada2017,Grupo 8,20 Oct 16,Konyaspor,Sporting,1 - 1
Temporada2017,Grupo 8,20 Oct 16,Shakhtar,KAA Gent,5 - 0
Temporada2017,Grupo 8,03 Nov 16,Sporting,Konyaspor,3 - 1
Temporada2017,Grupo 8,03 Nov 16,KAA Gent,Shakhtar,3 - 5
Temporada2017,Grupo 8,24 Nov 16,KAA Gent,Sporting,2 - 2
Temporada2017,Grupo 8,24 Nov 16,Shakhtar,Konyaspor,4 - 0
Temporada2017,Grupo 8,08 Dic 16,Sporting,Shakhtar,2 - 4
Temporada2017,Grupo 8,08 Dic 16,Konyaspor,KAA Gent,0 - 1
Temporada2017,Grupo 9,15 Sep 16,Salzburg,Krasnodar,0 - 1
Temporada2017,Grupo 9,15 Sep 16,Nice,Schalke 04,0 - 1
Temporada2017,Grupo 9,29 Sep 16,Schalke 04,Salzburg,3 - 1
Temporada2017,Grupo 9,29 Sep 16,Krasnodar,Nice,5 - 2
Temporada2017,Grupo 9,20 Oct 16,Krasnodar,Schalke 04,0 - 1
Temporada2017,Grupo 9,20 Oct 16,Salzburg,Nice,0 - 1
Temporada2017,Grupo 9,03 Nov 16,Schalke 04,Krasnodar,2 - 0
Temporada2017,Grupo 9,03 Nov 16,Nice,Salzburg,0 - 2
Temporada2017,Grupo 9,24 Nov 16,Krasnodar,Salzburg,1 - 1
Temporada2017,Grupo 9,24 Nov 16,Schalke 04,Nice,2 - 0
Temporada2017,Grupo 9,08 Dic 16,Salzburg,Schalke 04,2 - 0
Temporada2017,Grupo 9,08 Dic 16,Nice,Krasnodar,2 - 1
Temporada2017,Grupo 10,15 Sep 16,Qarabağ,Slovan,2 - 2
Temporada2017,Grupo 10,15 Sep 16,PAOK,Fiorentina,0 - 0
Temporada2017,Grupo 10,29 Sep 16,Fiorentina,Qarabağ,5 - 1
Temporada2017,Grupo 10,29 Sep 16,Slovan,PAOK,1 - 2
Temporada2017,Grupo 10,20 Oct 16,Slovan,Fiorentina,1 - 3
Temporada2017,Grupo 10,20 Oct 16,Qarabağ,PAOK,2 - 0
Temporada2017,Grupo 10,03 Nov 16,Fiorentina,Slovan,3 - 0
Temporada2017,Grupo 10,03 Nov 16,PAOK,Qarabağ,0 - 1
Temporada2017,Grupo 10,24 Nov 16,Slovan,Qarabağ,3 - 0
Temporada2017,Grupo 10,24 Nov 16,Fiorentina,PAOK,2 - 3
Temporada2017,Grupo 10,08 Dic 16,Qarabağ,Fiorentina,1 - 2
Temporada2017,Grupo 10,08 Dic 16,PAOK,Slovan,2 - 0
Temporada2017,Grupo 11,15 Sep 16,Inter,Hapoel,0 - 2
Temporada2017,Grupo 11,15 Sep 16,Southampton,Sparta,3 - 0
Temporada2017,Grupo 11,29 Sep 16,Sparta,Inter,3 - 1
Temporada2017,Grupo 11,29 Sep 16,Hapoel,Southampton,0 - 0
Temporada2017,Grupo 11,20 Oct 16,Hapoel,Sparta,0 - 1
Temporada2017,Grupo 11,20 Oct 16,Inter,Southampton,1 - 0
Temporada2017,Grupo 11,03 Nov 16,Sparta,Hapoel,2 - 0
Temporada2017,Grupo 11,03 Nov 16,Southampton,Inter,2 - 1
Temporada2017,Grupo 11,24 Nov 16,Hapoel,Inter,3 - 2
Temporada2017,Grupo 11,24 Nov 16,Sparta,Southampton,1 - 0
Temporada2017,Grupo 11,08 Dic 16,Inter,Sparta,2 - 1
Temporada2017,Grupo 11,08 Dic 16,Southampton,Hapoel,1 - 1
Temporada2017,Grupo 12,15 Sep 16,Osmanlıspo,FCSB,2 - 0
Temporada2017,Grupo 12,15 Sep 16,Villarreal,Zurich,2 - 1
Temporada2017,Grupo 12,29 Sep 16,Zurich,Osmanlıspo,2 - 1
Temporada2017,Grupo 12,29 Sep 16,FCSB,Villarreal,1 - 1
Temporada2017,Grupo 12,20 Oct 16,FCSB,Zurich,1 - 1
Temporada2017,Grupo 12,20 Oct 16,Osmanlıspo,Villarreal,2 - 2
Temporada2017,Grupo 12,03 Nov 16,Zurich,FCSB,0 - 0
Temporada2017,Grupo 12,03 Nov 16,Villarreal,Osmanlıspo,1 - 2
Temporada2017,Grupo 12,24 Nov 16,FCSB,Osmanlıspo,2 - 1
Temporada2017,Grupo 12,24 Nov 16,Zurich,Villarreal,1 - 1
Temporada2017,Grupo 12,08 Dic 16,Osmanlıspo,Zurich,2 - 0
Temporada2017,Grupo 12,08 Dic 16,Villarreal,FCSB,2 - 1
