Liga,Temporada,Jornada,Equipo,Cambios realizados partido,Cambio lesion jornada anterior,,
Bundesliga,Temporada2020,Jornada 7,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Schalke 04,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 7,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,B. Dortmund,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 7,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 7,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 7,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Köln,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 7,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 8,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 8,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 8,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 9,Bayern München,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 9,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 9,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 9,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 10,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,SC Freiburg,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 10,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 10,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 10,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 10,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 11,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Hoffenheim,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 11,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Schalke 04,2,1,"0,2301974","1,2588484821"
Bundesliga,Temporada2020,Jornada 11,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 11,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 11,Werder Bremen,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 11,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 11,Köln,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 11,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 12,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,B. Leverkusen,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 12,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 12,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 12,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 12,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 13,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Schalke 04,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 13,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,B. Dortmund,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 13,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,B. Leverkusen,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 13,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 13,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 13,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 13,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 14,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Bayern München,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 14,Hoffenheim,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 14,Wolfsburg,3,0,"0,3672102","1,4437013532"
