Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Bundesliga,Temporada2020,Jornada 21,SC Freiburg,8,32,30,30,LOCAL,1 - 0,1 ,3,57,0,1,1,8,0,14,2,32,61,70,0,0,1,0,0,2,0,0,0,0,1,3,3,26,0,1,8,29,Hoffenheim,7,33,27,77,182,0
Bundesliga,Temporada2020,Jornada 21,Eintracht,9,28,37,31,LOCAL,5 - 0,5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,FC Augsburg,10,26,,,,1
Bundesliga,Temporada2020,Jornada 21,Wolfsburg,10,28,25,26,LOCAL,1 - 1,1 ,3,58,0,0,1,7,0,11,2,39,49,74,0,0,1,0,0,0,0,0,0,0,1,0,0,36,1,0,9,27,Fortuna,17,16,26,75,182,0
Bundesliga,Temporada2020,Jornada 21,Union Berlin,11,26,25,32,VISITANTE,0 - 2, 2,3,60,0,0,0,8,2,12,1,40,72,70,0,0,0,1,0,1,1,1,0,0,0,1,3,40,0,2,12,23,Werder Bremen,16,17,28,81,187,1
Bundesliga,Temporada2020,Jornada 21,FC Augsburg,12,26,33,44,VISITANTE,5 - 0, 0,3,58,0,0,1,9,0,23,2,23,73,71,0,0,0,0,0,2,0,0,0,0,0,3,0,35,0,0,10,26,Eintracht,11,25,26,77,183,0
Bundesliga,Temporada2020,Jornada 21,Köln,13,23,28,40,VISITANTE,2 - 1, 1,3,58,0,0,1,11,0,19,2,23,74,66,0,0,0,1,0,4,1,0,0,0,0,2,2,49,0,2,14,23,Monchengladbach,4,39,26,76,185,0
Bundesliga,Temporada2020,Jornada 21,Hertha BSC,14,23,25,37,LOCAL,1 - 3,1 ,3,57,0,0,1,7,1,11,1,30,54,70,0,0,0,0,0,4,0,0,0,0,0,0,2,40,0,1,13,23,Mainz 05,15,18,25,76,183,1
Bundesliga,Temporada2020,Jornada 21,Mainz 05,15,21,31,48,VISITANTE,1 - 3, 3,3,59,0,0,1,11,1,27,1,21,74,68,0,0,0,1,0,3,0,0,0,0,0,1,1,41,0,1,15,18,Hertha BSC,13,23,25,75,181,0
Bundesliga,Temporada2020,Jornada 21,Fortuna,16,17,20,42,VISITANTE,1 - 1, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,Wolfsburg,9,27,,,,1
Bundesliga,Temporada2020,Jornada 21,Werder Bremen,17,17,25,48,LOCAL,0 - 2,0 ,3,59,0,0,1,11,0,22,2,26,71,75,0,0,0,1,0,2,1,0,0,0,0,2,4,42,0,0,16,17,Union Berlin,12,23,27,74,183,1
Bundesliga,Temporada2020,Jornada 21,Paderborn,18,16,26,45,VISITANTE,1 - 1, 1,3,60,0,0,0,7,1,15,2,31,57,68,0,0,1,0,0,2,1,0,1,0,1,1,3,44,0,1,18,15,Schalke 04,6,34,26,75,181,0
Bundesliga,Temporada2020,Jornada 22,Bayern München,1,46,62,24,VISITANTE,1 - 4, 4,3,59,0,0,1,8,1,24,1,27,61,69,0,0,0,1,0,1,0,0,0,0,0,1,3,38,0,1,1,43,Köln,13,23,27,75,181,0
Bundesliga,Temporada2020,Jornada 22,RB Leipzig,2,45,56,25,LOCAL,3 - 0,3 ,3,63,0,0,1,10,2,30,0,16,63,67,0,0,0,0,0,2,1,0,0,0,0,0,1,29,0,0,2,42,Werder Bremen,17,17,24,75,182,0
Bundesliga,Temporada2020,Jornada 22,B. Dortmund,3,42,63,32,LOCAL,4 - 0,4 ,3,61,0,1,0,12,1,26,2,16,72,69,0,0,0,0,0,2,1,0,0,0,0,4,0,19,0,0,4,39,Eintracht,9,28,26,76,183,0
Bundesliga,Temporada2020,Jornada 22,Monchengladbach,4,42,42,24,VISITANTE,1 - 4, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,Fortuna,16,17,,,,0
Bundesliga,Temporada2020,Jornada 22,B. Leverkusen,5,40,38,29,VISITANTE,2 - 3, 3,3,61,0,0,1,14,1,23,1,23,56,67,0,0,0,1,0,3,1,0,0,0,0,2,2,30,0,3,5,37,Union Berlin,11,26,25,74,183,0
