Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,PUNTOS Y,CUT1 Y,CUT2 Y
La Liga Santander,Temporada2020,Jornada 4,Real Mallorca,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 4,Real Betis,1,1,3,"-0,6330027","0,2080321","0,9123053"
La Liga Santander,Temporada2020,Jornada 4,Celta de Vigo,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 4,Espanyol,0,1,3,"-0,3032203","-0,1217503","0,5825229"
La Liga Santander,Temporada2020,Jornada 4,Getafe,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 4,Eibar,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 4,Leganés,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 5,Athletic Bilbao,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 5,Real Madrid,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 5,Granada,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 5,Real Sociedad,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 5,Sevilla,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 5,Atlético Madrid,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 5,Villarreal,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 5,Barcelona,1,0,4,"-0,4176412","-0,0073294","0,6969438"
La Liga Santander,Temporada2020,Jornada 5,Levante,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 5,Osasuna,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 5,Getafe,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 5,Valencia,1,1,2,"-0,611038","0,1860674","0,8903406"
La Liga Santander,Temporada2020,Jornada 5,Alavés,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 5,Real Betis,0,1,5,"-0,3471497","-0,0778209","0,6264523"
La Liga Santander,Temporada2020,Jornada 5,Real Valladolid,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 5,Celta de Vigo,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 5,Real Mallorca,0,1,1,"-0,2592909","-0,1656797","0,5385935"
La Liga Santander,Temporada2020,Jornada 5,Espanyol,1,0,4,"-0,4176412","-0,0073294","0,6969438"
La Liga Santander,Temporada2020,Jornada 5,Eibar,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 5,Leganés,1,1,4,"-0,6549674","0,2299968","0,93427"
La Liga Santander,Temporada2020,Jornada 6,Real Madrid,0,0,8,"-0,1757176","-0,249253","0,4550202"
La Liga Santander,Temporada2020,Jornada 6,Real Sociedad,0,0,11,"-0,2416117","-0,1833589","0,5209143"
La Liga Santander,Temporada2020,Jornada 6,Atlético Madrid,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 6,Athletic Bilbao,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 6,Granada,1,0,5,"-0,4396059","0,0146353","0,7189085"
La Liga Santander,Temporada2020,Jornada 6,Barcelona,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 6,Sevilla,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 6,Villarreal,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 6,Real Betis,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 6,Getafe,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 6,Levante,0,0,8,"-0,1757176","-0,249253","0,4550202"
La Liga Santander,Temporada2020,Jornada 6,Osasuna,0,0,7,"-0,1537529","-0,2712177","0,4330555"
La Liga Santander,Temporada2020,Jornada 6,Valencia,0,1,6,"-0,3691144","-0,0558562","0,648417"
La Liga Santander,Temporada2020,Jornada 6,Real Valladolid,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 6,Celta de Vigo,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 6,Eibar,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 6,Alavés,0,0,11,"-0,2416117","-0,1833589","0,5209143"
La Liga Santander,Temporada2020,Jornada 6,Espanyol,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 6,Real Mallorca,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 6,Leganés,1,0,5,"-0,4396059","0,0146353","0,7189085"
La Liga Santander,Temporada2020,Jornada 7,Real Madrid,0,0,6,"-0,1317882","-0,2931824","0,4110908"
La Liga Santander,Temporada2020,Jornada 7,Atlético Madrid,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 7,Granada,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 7,Barcelona,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 7,Real Sociedad,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 7,Sevilla,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 7,Athletic Bilbao,1,0,5,"-0,4396059","0,0146353","0,7189085"
La Liga Santander,Temporada2020,Jornada 7,Villarreal,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 7,Valencia,0,0,6,"-0,1317882","-0,2931824","0,4110908"
La Liga Santander,Temporada2020,Jornada 7,Real Valladolid,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 7,Eibar,1,0,4,"-0,4176412","-0,0073294","0,6969438"
La Liga Santander,Temporada2020,Jornada 7,Levante,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 7,Osasuna,0,0,7,"-0,1537529","-0,2712177","0,4330555"
La Liga Santander,Temporada2020,Jornada 7,Alavés,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 7,Real Betis,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 7,Getafe,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 7,Celta de Vigo,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 7,Espanyol,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 7,Real Mallorca,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 7,Leganés,1,1,4,"-0,6549674","0,2299968","0,93427"
La Liga Santander,Temporada2020,Jornada 8,Real Madrid,0,1,2,"-0,2812556","-0,143715","0,5605582"
La Liga Santander,Temporada2020,Jornada 8,Barcelona,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 8,Atlético Madrid,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 8,Granada,0,1,0,"-0,2373262","-0,1876444","0,5166288"
La Liga Santander,Temporada2020,Jornada 8,Real Sociedad,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 8,Sevilla,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 8,Athletic Bilbao,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 8,Valencia,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 8,Osasuna,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 8,Villarreal,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 8,Levante,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 8,Getafe,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 8,Real Valladolid,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 8,Eibar,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 8,Celta de Vigo,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 8,Real Betis,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 8,Alavés,2,1,3,"-0,9627851","0,5378145","1,2420877"
La Liga Santander,Temporada2020,Jornada 8,Real Mallorca,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 8,Espanyol,1,0,6,"-0,4615706","0,0366","0,7408732"
La Liga Santander,Temporada2020,Jornada 8,Leganés,1,0,4,"-0,4176412","-0,0073294","0,6969438"
